model_id,timing_mode,checkpoint_id,n_matrices,share_psd,max_asymmetry,min_eigenvalue_min,min_eigenvalue_median,max_eigenvalue_median
indicator_revision_only_dfm_kalman_em,exact,pre_advance,4,1.0,0.0,8.352047750671133,9.526867711590384,31.627701992086582
indicator_revision_only_dfm_kalman_em,exact,pre_second,4,1.0,0.0,8.282977283492846,8.348245477269664,21.804436035236414
indicator_revision_only_dfm_kalman_em,exact,pre_third,4,1.0,0.0,8.223545540335076,10.645838966551564,21.79518607741572
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,4,1.0,0.0,8.351583855748133,9.5267678857027,31.625068772667756
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,4,1.0,0.0,8.283302957838632,8.3483233318197,21.80541015131324
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,4,1.0,0.0,8.223624389242406,10.644605084638012,21.790357375043016
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,4,1.0,8.881784197001252e-16,8.219494265082623,9.252559302004839,32.96668213546994
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,4,1.0,8.881784197001252e-16,8.160485432040405,8.208696974728444,24.199939446209275
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,4,1.0,4.440892098500626e-16,8.119770562715196,10.247959973641414,23.316179472722446
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,4,1.0,8.881784197001252e-16,8.218902498140052,9.25247316540008,32.96424841647001
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,4,1.0,8.881784197001252e-16,8.160790463466201,8.208757633662144,24.2007299069697
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,4,1.0,4.440892098500626e-16,8.119837226999756,10.246818115725995,23.312727173125694
monthly_mixed_frequency_kalman_em,exact,pre_advance,4,1.0,0.0,9.126841738736536,11.109956920373694,59.34956468632372
monthly_mixed_frequency_kalman_em,exact,pre_second,4,1.0,0.0,12.989937200728534,13.018767896100233,36.55678719904837
monthly_mixed_frequency_kalman_em,exact,pre_third,4,1.0,0.0,8.993799331401929,10.933471895673687,27.933969971562995
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,4,1.0,0.0,9.126815186122396,11.110138732726314,59.34766653205925
monthly_mixed_frequency_kalman_em,pseudo,pre_second,4,1.0,0.0,12.990885577489337,13.019418120221012,36.55788732609116
monthly_mixed_frequency_kalman_em,pseudo,pre_third,4,1.0,0.0,8.99406348125847,10.933368945056543,27.940504424222063
revision_dfm_kalman_em,exact,pre_advance,4,1.0,1.7763568394002505e-15,7.783852847822756,8.941484893188855,35.32390639803498
revision_dfm_kalman_em,exact,pre_second,4,1.0,8.881784197001252e-16,7.764717326552124,8.945575387914314,26.35441245253409
revision_dfm_kalman_em,exact,pre_third,4,1.0,8.881784197001252e-16,7.727535599927526,8.87790317449743,21.419087063019724
revision_dfm_kalman_em,pseudo,pre_advance,4,1.0,8.881784197001252e-16,7.783770013592838,8.94130626628598,35.32314187122596
revision_dfm_kalman_em,pseudo,pre_second,4,1.0,8.881784197001252e-16,7.765193389915873,8.945864574101165,26.355957621910203
revision_dfm_kalman_em,pseudo,pre_third,4,1.0,4.440892098500626e-16,7.727595073031248,8.876591783210504,21.416856882610784
