model_id,timing_mode,checkpoint_id,target_id,n_forecasts,n_variance,share_positive_variance,share_finite_sd,min_forecast_variance,median_forecast_variance,max_forecast_variance,mean_forecast_sd,empirical_error_sd,RMSE,mean_sd_to_rmse,mean_sd_to_empirical_error_sd,coverage_68,coverage_90,model_implied_share
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,80,80,1.0,1.0,2.9809717851803925,4.49896933057331,5.740014882667824,2.085888538944917,4.729711738128204,4.710572869899431,0.4428099504146828,0.44101811155417536,0.725,0.8375,1.0
monthly_mixed_frequency_kalman_em,pseudo,pre_second,S,79,79,1.0,1.0,0.3232061641977309,0.3649748830836242,0.3820083263744654,0.6009239375698364,0.6113200177835522,0.6081282669672763,0.988153273266892,0.9829940458167744,0.7974683544303798,0.9113924050632911,1.0
monthly_mixed_frequency_kalman_em,pseudo,pre_third,T,80,80,1.0,1.0,0.1227772190057857,0.14737269521842455,0.4803050638137648,0.3884615409370122,0.37858635176340577,0.37621443140751104,1.0325535346522505,1.0260843771245558,0.8375,0.95,1.0
no_revision,exact,pre_advance,A,80,0,0.0,0.0,,,,,7.312691649659501,7.26944298718703,,,,,0.0
no_revision,exact,pre_second,S,79,0,0.0,0.0,,,,,0.5694656229901923,0.5696627235545563,,,,,0.0
no_revision,exact,pre_third,T,80,0,0.0,0.0,,,,,0.3611902856870371,0.36218671255306983,,,,,0.0
no_revision,pseudo,pre_advance,A,80,0,0.0,0.0,,,,,7.312691649659501,7.26944298718703,,,,,0.0
no_revision,pseudo,pre_second,S,79,0,0.0,0.0,,,,,0.5694656229901923,0.5696627235545563,,,,,0.0
no_revision,pseudo,pre_third,T,80,0,0.0,0.0,,,,,0.3611902856870371,0.36218671255306983,,,,,0.0
release_dfm,exact,pre_advance,A,80,0,0.0,0.0,,,,,3.033045309836658,3.0658631497628757,,,,,0.0
release_dfm,exact,pre_second,S,79,0,0.0,0.0,,,,,0.6951108682350918,0.6907381923525489,,,,,0.0
release_dfm,exact,pre_third,T,80,0,0.0,0.0,,,,,0.4473995912590166,0.4446166872002175,,,,,0.0
release_dfm,pseudo,pre_advance,A,80,0,0.0,0.0,,,,,3.0139858147314746,3.051686880620195,,,,,0.0
release_dfm,pseudo,pre_second,S,79,0,0.0,0.0,,,,,0.6947793831083643,0.6904136306729566,,,,,0.0
release_dfm,pseudo,pre_third,T,80,0,0.0,0.0,,,,,0.44741910119329453,0.4446354112046444,,,,,0.0
revision_dfm_kalman_em,exact,pre_advance,A,80,80,1.0,1.0,2.296689619711235,3.9640998153650644,6.135195751103664,2.0055820527465236,3.6026422082608844,3.584087252278718,0.559579583747968,0.5566975394191823,0.6875,0.875,1.0
revision_dfm_kalman_em,exact,pre_second,S,79,79,1.0,1.0,0.3757125512489944,0.4090426991149417,0.4239511884927747,0.6357267651463911,0.6612168781917541,0.66045495551236,0.9625588540753919,0.961449693911215,0.7848101265822784,0.8987341772151899,1.0
revision_dfm_kalman_em,exact,pre_third,T,80,80,1.0,1.0,0.1277955964433394,0.14095884675589743,0.5019686637793145,0.3785712107679804,0.37221169129824616,0.37189409650013344,1.0179543432678408,1.0170857595782463,0.825,0.9375,1.0
revision_dfm_kalman_em,pseudo,pre_advance,A,80,80,1.0,1.0,2.298732402832569,3.9690055395235606,6.135195751103664,2.0048171936051866,3.5890117868264455,3.57088459441811,0.5614343282723422,0.55859866522699,0.6875,0.8625,1.0
revision_dfm_kalman_em,pseudo,pre_second,S,79,79,1.0,1.0,0.3757125512489944,0.4090481785566832,0.4239389187124773,0.6357375771229127,0.6610736405667349,0.6602711636334132,0.9628431652603237,0.961674370464837,0.7848101265822784,0.8987341772151899,1.0
revision_dfm_kalman_em,pseudo,pre_third,T,80,80,1.0,1.0,0.1277955817940163,0.14094932718380565,0.50196938290351,0.37857030496211597,0.3721370086969646,0.3718221420689141,1.0181489000511195,1.0172874401492007,0.825,0.9375,1.0
standard_dfm,exact,pre_advance,A,80,0,0.0,0.0,,,,,3.033045309836658,3.0658631497628757,,,,,0.0
standard_dfm,exact,pre_second,S,79,0,0.0,0.0,,,,,2.873865623762783,2.9233852978395793,,,,,0.0
standard_dfm,exact,pre_third,T,80,0,0.0,0.0,,,,,2.8567643336005712,2.90714669134318,,,,,0.0
standard_dfm,pseudo,pre_advance,A,80,0,0.0,0.0,,,,,3.0139858147314746,3.051686880620195,,,,,0.0
standard_dfm,pseudo,pre_second,S,79,0,0.0,0.0,,,,,2.865825842802929,2.91628596847266,,,,,0.0
standard_dfm,pseudo,pre_third,T,80,0,0.0,0.0,,,,,2.8549083815327996,2.9061285663703322,,,,,0.0
