model_id,checkpoint_id,revision_target_id,exact,pseudo,exact_minus_pseudo_RMSE
ar,pre_advance,DELTA_SA,0.0053337952089402,0.0053337952089402,0.0
ar,pre_second,DELTA_TS,0.0247637723101328,0.0247637723101328,0.0
ar,pre_third,DELTA_MT,0.9346469452895664,0.9346469452895664,0.0
bridge,pre_advance,DELTA_SA,0.013118587007399,0.0163715183882664,-0.0032529313808673
bridge,pre_second,DELTA_TS,0.0276941625301523,0.0224134277446927,0.0052807347854595
bridge,pre_third,DELTA_MT,0.7274976639003956,0.7330964487906027,-0.005598784890207
indicator_revision_only_dfm_kalman_em,pre_advance,DELTA_SA,0.0939000000000001,0.0939000000000001,0.0
indicator_revision_only_dfm_kalman_em,pre_second,DELTA_TS,0.1044,0.1044,0.0
indicator_revision_only_dfm_kalman_em,pre_third,DELTA_MT,0.5985,0.5985,0.0
joint_indicator_revision_dfm_full_kalman_em,pre_advance,DELTA_SA,0.0591041468504269,0.0580227548715526,0.0010813919788743
joint_indicator_revision_dfm_full_kalman_em,pre_second,DELTA_TS,0.10346032831491,0.1034610606987431,-7.323838331352306e-07
joint_indicator_revision_dfm_full_kalman_em,pre_third,DELTA_MT,0.678486651769119,0.6784857997932066,8.519759124858695e-07
midas_umidas,pre_advance,DELTA_SA,0.3402543768638701,0.3457886099869207,-0.0055342331230505
midas_umidas,pre_second,DELTA_TS,0.115955305433852,0.1144274643656682,0.0015278410681838
midas_umidas,pre_third,DELTA_MT,1.6342840303764723,1.6536452959038703,-0.0193612655273978
monthly_mixed_frequency_kalman_em,pre_advance,DELTA_SA,0.0054841214208685,0.005919057195034,-0.0004349357741655
monthly_mixed_frequency_kalman_em,pre_second,DELTA_TS,0.0508590665647341,0.0501200338142164,0.0007390327505176
monthly_mixed_frequency_kalman_em,pre_third,DELTA_MT,0.6697887519482566,0.6679055400195422,0.0018832119287144
no_revision,pre_advance,DELTA_SA,0.0939000000000001,0.0939000000000001,0.0
no_revision,pre_second,DELTA_TS,0.1044,0.1044,0.0
no_revision,pre_third,DELTA_MT,0.5985,0.5985,0.0
release_dfm,pre_advance,DELTA_SA,0.0016847606482608,0.0016775022233845,7.258424876255276e-06
release_dfm,pre_second,DELTA_TS,0.0540055365853198,0.0539887802395928,1.6756345726953725e-05
release_dfm,pre_third,DELTA_MT,0.9058783372384984,0.9022590427264584,0.0036192945120401
revision_dfm_kalman_em,pre_advance,DELTA_SA,0.0861430253963515,0.0846472537617035,0.0014957716346479
revision_dfm_kalman_em,pre_second,DELTA_TS,0.1034402754249339,0.1034422973730664,-2.0219481324801336e-06
revision_dfm_kalman_em,pre_third,DELTA_MT,0.6854338167937515,0.6854319821988741,1.8345948773479392e-06
standard_dfm,pre_advance,DELTA_SA,0.0016847606482608,0.0016775022233845,7.258424876255276e-06
standard_dfm,pre_second,DELTA_TS,0.0370822387147931,0.0371178854708427,-3.5646756049612094e-05
standard_dfm,pre_third,DELTA_MT,0.9130865928938016,0.9131620147523578,-7.542185855635708e-05
