model_id,checkpoint_id,target_id,exact,pseudo,exact_minus_pseudo_RMSE
ar,pre_advance,A,0.2518214835002665,0.2518214835002665,0.0
ar,pre_second,S,0.2464876882913262,0.2464876882913262,0.0
ar,pre_third,T,0.2217239159811934,0.2217239159811934,0.0
bridge,pre_advance,A,0.2526993338243564,0.3295494318233607,-0.0768500979990043
bridge,pre_second,S,0.0718421510976861,0.1244124501759973,-0.0525702990783112
bridge,pre_third,T,0.0452634908066409,0.0127407432326971,0.0325227475739438
indicator_revision_only_dfm_kalman_em,pre_advance,A,0.2633709718275088,0.2697291320428938,-0.006358160215385
indicator_revision_only_dfm_kalman_em,pre_second,S,0.0036728220334714,0.0051894480334548,-0.0015166259999834
indicator_revision_only_dfm_kalman_em,pre_third,T,0.0905452843440337,0.0912598070060175,-0.0007145226619837
joint_indicator_revision_dfm_full_kalman_em,pre_advance,A,0.1130994197187789,0.1205995705010307,-0.0075001507822518
joint_indicator_revision_dfm_full_kalman_em,pre_second,S,0.1094678634433616,0.110867270710949,-0.0013994072675873
joint_indicator_revision_dfm_full_kalman_em,pre_third,T,0.0278778132845536,0.0285954932707284,-0.0007176799861747
midas_umidas,pre_advance,A,0.7891120871172417,0.8087549413921016,-0.0196428542748599
midas_umidas,pre_second,S,1.369996696317131,1.3947707428482827,-0.0247740465311516
midas_umidas,pre_third,T,0.3576234610100681,0.3517933009049452,0.0058301601051229
monthly_mixed_frequency_kalman_em,pre_advance,A,0.2476883066155117,0.2366870351419474,0.0110012714735643
monthly_mixed_frequency_kalman_em,pre_second,S,0.1121676230959098,0.1140144989408731,-0.0018468758449632
monthly_mixed_frequency_kalman_em,pre_third,T,0.0260005342968936,0.0199091948570888,0.0060913394398047
no_revision,pre_advance,A,0.1930473719443051,0.1930473719443051,0.0
no_revision,pre_second,S,0.0939000000000001,0.0939000000000001,0.0
no_revision,pre_third,T,0.1044,0.1044,0.0
release_dfm,pre_advance,A,0.1740246203870485,0.143082287679741,0.0309423327073075
release_dfm,pre_second,S,0.0154377701599086,0.0155688941766256,-0.0001311240167169
release_dfm,pre_third,T,0.035594523183279,0.0354142336041074,0.0001802895791715
revision_dfm_kalman_em,pre_advance,A,0.1348127901270013,0.1441791037449111,-0.0093663136179098
revision_dfm_kalman_em,pre_second,S,0.0803416444385711,0.0823413248253044,-0.0019996803867332
revision_dfm_kalman_em,pre_third,T,0.0073033648580742,0.0084951527049863,-0.001191787846912
standard_dfm,pre_advance,A,0.1740246203870485,0.143082287679741,0.0309423327073075
standard_dfm,pre_second,S,0.0331223667589388,0.0237770371998857,0.009345329559053
standard_dfm,pre_third,T,0.0370211511536711,0.0147003850608298,0.0223207660928412
