model_id,checkpoint_id,target_id,exact,pseudo,exact_minus_pseudo_RMSE
ar,pre_advance,A,7.136876466075766,7.136876466075766,0.0
ar,pre_second,S,6.942115480721942,6.942115480721942,0.0
ar,pre_third,T,6.853900266254954,6.853900266254954,0.0
bridge,pre_advance,A,4.873697083215683,4.853299396730429,0.0203976864852544
bridge,pre_second,S,4.54265384858136,4.542167880186523,0.0004859683948374
bridge,pre_third,T,4.4019297631577015,4.398694165093339,0.0032355980643625
indicator_revision_only_dfm_kalman_em,pre_advance,A,3.8564125474777735,3.8667653871861143,-0.0103528397083412
indicator_revision_only_dfm_kalman_em,pre_second,S,0.5997128541946206,0.5991036053382641,0.0006092488563564
indicator_revision_only_dfm_kalman_em,pre_third,T,0.3711644509378306,0.3711227307774689,4.172016036169124e-05
joint_indicator_revision_dfm_full_kalman_em,pre_advance,A,3.804827275830293,3.803585927561054,0.0012413482692386
joint_indicator_revision_dfm_full_kalman_em,pre_second,S,0.6402321314452203,0.6397055644348428,0.0005265670103774
joint_indicator_revision_dfm_full_kalman_em,pre_third,T,0.3711383477667407,0.3711507671909406,-1.2419424199827668e-05
midas_umidas,pre_advance,A,13.366462459510316,13.55397343598597,-0.1875109764756555
midas_umidas,pre_second,S,4.770330173181986,4.762771639416986,0.0075585337649997
midas_umidas,pre_third,T,6.1904905088081,6.186914482958165,0.0035760258499353
monthly_mixed_frequency_kalman_em,pre_advance,A,4.709589388584287,4.710572869899431,-0.0009834813151439
monthly_mixed_frequency_kalman_em,pre_second,S,0.6082852627940439,0.6081282669672763,0.0001569958267676
monthly_mixed_frequency_kalman_em,pre_third,T,0.3771221274742741,0.376214431407511,0.0009076960667631
no_revision,pre_advance,A,7.26944298718703,7.26944298718703,0.0
no_revision,pre_second,S,0.5696627235545563,0.5696627235545563,0.0
no_revision,pre_third,T,0.3621867125530698,0.3621867125530698,0.0
release_dfm,pre_advance,A,3.0658631497628757,3.051686880620195,0.0141762691426805
release_dfm,pre_second,S,0.6907381923525489,0.6904136306729566,0.0003245616795922
release_dfm,pre_third,T,0.4446166872002175,0.4446354112046444,-1.8724004426873275e-05
revision_dfm_kalman_em,pre_advance,A,3.5840872522787186,3.57088459441811,0.0132026578606088
revision_dfm_kalman_em,pre_second,S,0.66045495551236,0.6602711636334132,0.0001837918789467
revision_dfm_kalman_em,pre_third,T,0.3718940965001334,0.3718221420689141,7.195443121932321e-05
standard_dfm,pre_advance,A,3.0658631497628757,3.051686880620195,0.0141762691426805
standard_dfm,pre_second,S,2.9233852978395793,2.91628596847266,0.0070993293669192
standard_dfm,pre_third,T,2.9071466913431796,2.906128566370332,0.0010181249728473
