subsample,timing_mode,checkpoint_id,revision_target_id,best_models,best_RMSE,best_MAE,best_bias,best_relative_RMSFE,best_DM_test,best_sign_accuracy,best_n_forecasts,n_models_compared,structured_family_win
full_sample,exact,pre_advance,DELTA_SA,monthly_mixed_frequency_kalman_em,0.5650492032192075,0.4009383312878245,0.025792380826566853,0.8332312445906386,,0.5822784810126582,79,10,False
full_sample,exact,pre_second,DELTA_TS,revision_dfm_kalman_em,0.3613388505314374,0.2380469793886004,-0.05051730362535536,0.8858163768964118,,0.569620253164557,79,10,True
full_sample,exact,pre_third,DELTA_MT,no_revision; indicator_revision_only_dfm_kalman_em,1.0016142136324435,0.46983226112207344,0.2932787972804197,0.2575280557739766,,0.0,80,10,False
full_sample,pseudo,pre_advance,DELTA_SA,monthly_mixed_frequency_kalman_em,0.5647636789458039,0.40027724164357,0.02594781130569069,0.8328102056008773,,0.5822784810126582,79,10,False
full_sample,pseudo,pre_second,DELTA_TS,revision_dfm_kalman_em,0.36133563348744946,0.23801761690547005,-0.05054515557858662,0.8858084903648487,,0.569620253164557,79,10,True
full_sample,pseudo,pre_third,DELTA_MT,no_revision; indicator_revision_only_dfm_kalman_em,1.0016142136324435,0.46983226112207344,0.2932787972804197,0.2575280557739766,,0.0,80,10,False
exclude_pandemic,exact,pre_advance,DELTA_SA,monthly_mixed_frequency_kalman_em,0.5376525137733041,0.37972828117321994,0.026371083104301207,0.8795442566030506,,0.5974025974025974,77,10,False
exclude_pandemic,exact,pre_second,DELTA_TS,revision_dfm_kalman_em,0.3614311798267515,0.23496248923575203,-0.042561912803331846,0.8917277751133257,,0.5714285714285714,77,10,True
exclude_pandemic,exact,pre_third,DELTA_MT,no_revision; indicator_revision_only_dfm_kalman_em,0.5314285591596112,0.34578923209920437,0.16470875636417487,0.19490009710696535,,0.0,78,10,False
exclude_pandemic,pseudo,pre_advance,DELTA_SA,monthly_mixed_frequency_kalman_em,0.5372106243774486,0.3789908421083678,0.02657445441075625,0.8788213709655393,,0.5974025974025974,77,10,False
exclude_pandemic,pseudo,pre_second,DELTA_TS,revision_dfm_kalman_em,0.3614284672924093,0.23493305942322698,-0.042591183516424484,0.891721082712811,,0.5714285714285714,77,10,True
exclude_pandemic,pseudo,pre_third,DELTA_MT,no_revision; indicator_revision_only_dfm_kalman_em,0.5314285591596112,0.34578923209920437,0.16470875636417487,0.19490009710696535,,0.0,78,10,False
pre_gfc,exact,pre_advance,DELTA_SA,standard_dfm; release_dfm,0.5765692099736649,0.47271642781884354,-0.10675537936363476,0.9218506191886485,,0.75,12,10,True
pre_gfc,exact,pre_second,DELTA_TS,joint_indicator_revision_dfm_full_kalman_em,0.19363459964239996,0.15175739665861576,0.0023886361866717154,0.8729934123405965,,0.5,12,10,True
pre_gfc,exact,pre_third,DELTA_MT,no_revision; indicator_revision_only_dfm_kalman_em,0.3716658384882608,0.2426089654452995,0.22660186138462593,0.31587437698654486,,0.0,12,10,False
pre_gfc,pseudo,pre_advance,DELTA_SA,standard_dfm; release_dfm,0.5765706861164084,0.47271890853390386,-0.10675786007869509,0.9218529793269955,,0.75,12,10,True
pre_gfc,pseudo,pre_second,DELTA_TS,joint_indicator_revision_dfm_full_kalman_em,0.1936364899289321,0.15175858451608978,0.0023898240441457396,0.8730019346175709,,0.5,12,10,True
pre_gfc,pseudo,pre_third,DELTA_MT,no_revision; indicator_revision_only_dfm_kalman_em,0.3716658384882608,0.2426089654452995,0.22660186138462593,0.31587437698654486,,0.0,12,10,False
gfc_and_recovery,exact,pre_advance,DELTA_SA,monthly_mixed_frequency_kalman_em,0.6798334626176945,0.4861686192007026,0.17886694083187302,0.8415583944450533,,0.6428571428571429,28,10,False
gfc_and_recovery,exact,pre_second,DELTA_TS,monthly_mixed_frequency_kalman_em,0.5053679568030284,0.3458284555060257,0.07275774014403279,0.8526463376223873,,0.5,28,10,False
gfc_and_recovery,exact,pre_third,DELTA_MT,no_revision; indicator_revision_only_dfm_kalman_em,0.7484396852197506,0.5317748788431061,0.19108027529080468,0.3435855035317683,,0.0,28,10,False
gfc_and_recovery,pseudo,pre_advance,DELTA_SA,monthly_mixed_frequency_kalman_em,0.6792306716388136,0.4848037279761361,0.17927786609025403,0.8408122060970722,,0.6428571428571429,28,10,False
gfc_and_recovery,pseudo,pre_second,DELTA_TS,monthly_mixed_frequency_kalman_em,0.5053696141537286,0.34590952823879323,0.07256804009832349,0.8526491338701226,,0.5,28,10,False
