subsample,model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,relative_RMSFE,DM_test_vs_ar_normal_approx
full_sample,ar,exact,pre_advance,A,4,0.5449478501967144,0.4738680764754017,0.11822569626254781,1.0,1.0,0.0,,,,1.0,1.0
full_sample,ar,exact,pre_second,S,4,0.738338556884482,0.5738277128651487,0.2321046061781221,1.0,1.0,0.0,,,,1.0,1.0
full_sample,ar,exact,pre_third,T,4,0.7105338846281707,0.578932871417022,0.17209122697688584,1.0,1.0,0.0,,,,1.0,1.0
full_sample,ar,pseudo,pre_advance,A,4,0.5449478501967144,0.4738680764754017,0.11822569626254781,1.0,1.0,0.0,,,,1.0,1.0
full_sample,ar,pseudo,pre_second,S,4,0.738338556884482,0.5738277128651487,0.2321046061781221,1.0,1.0,0.0,,,,1.0,1.0
full_sample,ar,pseudo,pre_third,T,4,0.7105338846281707,0.578932871417022,0.17209122697688584,1.0,1.0,0.0,,,,1.0,1.0
full_sample,bridge,exact,pre_advance,A,4,0.5313621355918134,0.4645847440510611,0.11099131399059137,1.0,1.0,0.0,,,,0.9750696977701686,
full_sample,bridge,exact,pre_second,S,4,0.15875445621736384,0.11752955582833623,-0.09002654859154767,1.0,1.0,0.0,,,,0.2150158009995434,
full_sample,bridge,exact,pre_third,T,4,0.4512203904879581,0.38423563002357514,-0.36160388462025467,1.0,1.0,0.0,,,,0.6350441551764785,
full_sample,bridge,pseudo,pre_advance,A,4,0.5049320916956719,0.44492849137689466,0.14170380820973644,1.0,1.0,0.0,,,,0.9265695635158525,
full_sample,bridge,pseudo,pre_second,S,4,0.22839406238671922,0.18659132928620487,-0.15497714452708905,1.0,1.0,0.0,,,,0.30933514206607116,
full_sample,bridge,pseudo,pre_third,T,4,0.4030240529435442,0.28372959472147397,-0.28372959472147397,1.0,1.0,0.0,,,,0.5672129952738998,
full_sample,indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,4,0.6003174327930657,0.5104768524328007,0.23779032037124187,1.0,0.0,2.0,0.09422956941046806,0.09411245410536184,0.0947303493401709,1.1016052867744393,
full_sample,indicator_revision_only_dfm_kalman_em,exact,pre_second,S,4,0.3210781135085302,0.22657655095154466,0.09855041518630142,1.0,0.0,2.0,0.09418674068479244,0.09401725060277466,0.0948039713425084,0.4348657001787393,
full_sample,indicator_revision_only_dfm_kalman_em,exact,pre_third,T,4,0.21192957548213526,0.18559625455803574,-0.07408479518876868,1.0,0.0,2.0,0.09426981492311015,0.09419275714675521,0.0946655839974712,0.2982680770995743,
full_sample,indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,4,0.59630860330298,0.4838760510303484,0.21840301973157478,1.0,0.0,2.0,0.09422784794075419,0.0941097351944088,0.0947307310086335,1.0942489324211948,
full_sample,indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,4,0.3207376150167115,0.22635645426951323,0.09968506757006801,1.0,0.0,2.0,0.09418628293127732,0.09401844329518284,0.0948019152078987,0.43440453166919335,
full_sample,indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,4,0.2129769789159544,0.1867791610242133,-0.073122147743482,1.0,0.0,2.0,0.09423935816221007,0.09419969260123975,0.0945297274286846,0.2997421847480326,
full_sample,joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,4,0.5854775826695834,0.5273372275087067,0.19280887253320317,1.0,0.0,2.0,0.08091769337454513,0.08105091671156575,0.0821678784275323,1.074373598241077,
full_sample,joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,4,0.4269128692139748,0.3169758164219241,0.1627226724649606,1.0,0.0,2.0,0.08025791728631147,0.07946183539118165,0.0827484625082019,0.5782074703173983,
full_sample,joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,4,0.2361209216895974,0.19778573975279112,-0.043483496172872255,1.0,0.0,2.0,0.08030243411534366,0.0798119484397185,0.0821400209923978,0.3323147942665138,
full_sample,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,4,0.5732634853449267,0.49599221770701013,0.1696505890631736,1.0,0.0,2.0,0.08091605270507077,0.08105022153744845,0.0821640786516885,1.0519602658089042,
full_sample,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,4,0.4265337473355264,0.3166379835143769,0.16396210797669686,1.0,0.0,2.0,0.08025745466570008,0.0794630866542288,0.0827460748272922,0.577693990593343,
full_sample,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,T,4,0.23751271982667577,0.1990306264322876,-0.04241247202515885,1.0,0.0,2.0,0.08027148149111887,0.07975014920538925,0.0821395835265979,0.33427360040818954,
full_sample,midas_umidas,exact,pre_advance,A,4,1.6879081724991014,1.2879883744049,-1.0878654875003313,0.75,1.0,0.0,,,,3.0973755963800995,
