model_id,checkpoint_id,revision_target_id,exact,pseudo,exact_minus_pseudo_RMSE
ar,pre_advance,DELTA_SA,0.005333795208940284,0.005333795208940284,0.0
ar,pre_second,DELTA_TS,0.024763772310132826,0.024763772310132826,0.0
ar,pre_third,DELTA_MT,0.9346469452895665,0.9346469452895665,0.0
bridge,pre_advance,DELTA_SA,0.013118587007399096,0.01637151838826645,-0.003252931380867352
bridge,pre_second,DELTA_TS,0.027694162530152333,0.022413427744692793,0.00528073478545954
bridge,pre_third,DELTA_MT,0.7274976639003956,0.7330964487906027,-0.0055987848902070425
indicator_revision_only_dfm_kalman_em,pre_advance,DELTA_SA,0.0939000000000001,0.0939000000000001,0.0
indicator_revision_only_dfm_kalman_em,pre_second,DELTA_TS,0.10440000000000005,0.10440000000000005,0.0
indicator_revision_only_dfm_kalman_em,pre_third,DELTA_MT,0.5985,0.5985,0.0
joint_indicator_revision_dfm_full_kalman_em,pre_advance,DELTA_SA,0.11955777961946001,0.11901981817837193,0.0005379614410880862
joint_indicator_revision_dfm_full_kalman_em,pre_second,DELTA_TS,0.09532966188926251,0.09532471462837444,4.947260888066296e-06
joint_indicator_revision_dfm_full_kalman_em,pre_third,DELTA_MT,0.6201911876475905,0.6202022838918624,-1.1096244271868727e-05
midas_umidas,pre_advance,DELTA_SA,1.2790924056507862,1.2830689234921833,-0.003976517841397076
midas_umidas,pre_second,DELTA_TS,0.8707464835904368,0.8991347124417493,-0.028388228851312425
midas_umidas,pre_third,DELTA_MT,5.944332993307739,5.954278021747713,-0.009945028439974024
monthly_mixed_frequency_kalman_em,pre_advance,DELTA_SA,0.15155602403033996,0.15032048151631194,0.0012355425140280207
monthly_mixed_frequency_kalman_em,pre_second,DELTA_TS,0.05124505694520387,0.050937493388232724,0.00030756355697114657
monthly_mixed_frequency_kalman_em,pre_third,DELTA_MT,0.6859769241480227,0.6848148544788484,0.0011620696691743149
no_revision,pre_advance,DELTA_SA,0.0939000000000001,0.0939000000000001,0.0
no_revision,pre_second,DELTA_TS,0.10440000000000005,0.10440000000000005,0.0
no_revision,pre_third,DELTA_MT,0.5985,0.5985,0.0
release_dfm,pre_advance,DELTA_SA,0.0016847606482608413,0.001677502223384586,7.258424876255276e-06
release_dfm,pre_second,DELTA_TS,0.05400553658531981,0.05398878023959286,1.6756345726953725e-05
release_dfm,pre_third,DELTA_MT,0.9058783372384984,0.9022590427264583,0.0036192945120401276
revision_dfm_kalman_em,pre_advance,DELTA_SA,0.15136247292293037,0.15076026306118706,0.000602209861743308
revision_dfm_kalman_em,pre_second,DELTA_TS,0.0969418958463657,0.09694034077077252,1.555075593184796e-06
revision_dfm_kalman_em,pre_third,DELTA_MT,0.6162534901811623,0.6162640389641516,-1.0548782989339145e-05
spf,pre_advance,DELTA_SA,0.0939000000000001,0.0939000000000001,0.0
spf,pre_second,DELTA_TS,0.10440000000000005,0.10440000000000005,0.0
spf,pre_third,DELTA_MT,0.5985,0.5985,0.0
standard_dfm,pre_advance,DELTA_SA,0.0016847606482608413,0.001677502223384586,7.258424876255276e-06
standard_dfm,pre_second,DELTA_TS,0.0370822387147931,0.037117885470842715,-3.5646756049612094e-05
standard_dfm,pre_third,DELTA_MT,0.9130865928938015,0.9131620147523578,-7.542185855635708e-05
