timing_mode,checkpoint_id,revision_target_id,best_models,best_RMSE,best_MAE,best_bias,best_relative_RMSFE,best_DM_test,best_sign_accuracy,best_n_forecasts,n_models_compared,structured_family_win
exact,pre_advance,DELTA_SA,no_revision; spf; indicator_revision_only_dfm_kalman_em,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.6703241239681028,,0.0,4,11,False
exact,pre_second,DELTA_TS,standard_dfm,0.073863857214427,0.0638128337377806,-0.0193396726186589,0.1722854760740757,,1.0,4,11,False
exact,pre_third,DELTA_MT,no_revision; spf; indicator_revision_only_dfm_kalman_em,0.5274127178974736,0.5086,0.0746999999999999,0.0228052931693223,,0.0,4,11,False
pseudo,pre_advance,DELTA_SA,no_revision; spf; indicator_revision_only_dfm_kalman_em,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.6703241239681028,,0.0,4,11,False
pseudo,pre_second,DELTA_TS,standard_dfm,0.0739241508456071,0.0638559646337181,-0.019409475514478,0.1724261093600135,,1.0,4,11,False
pseudo,pre_third,DELTA_MT,no_revision; spf; indicator_revision_only_dfm_kalman_em,0.5274127178974736,0.5086,0.0746999999999999,0.0228052931693223,,0.0,4,11,False
