model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,n_indicators,initialization_seed,initialization_jitter
ar,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,2.91427503282673,,,not_available,3.0876,-0.17332496717326995,False,True,0,,,,,,,13,,0.0
no_revision,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,2.979208231416087,,,not_available,3.0876,-0.10839176858391308,False,True,0,,,,,,,13,,0.0
bridge,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,3.0281594575852124,,,not_available,3.0876,-0.05944054241478769,False,True,0,,,,,,,13,,0.0
midas_umidas,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,16.786138488129456,,,not_available,3.0876,13.698538488129456,False,True,0,,,,,,,13,,0.0
monthly_mixed_frequency_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,1.6133472620504123,4.40230425070024,2.098166878658664,model_implied_state_space,3.0876,-1.4742527379495878,False,False,100,-2847.5333198164153,-3753.6819855982853,-2847.5333198164153,0.7115317784187027,0.00024972644173435306,101.0,13,,0.0
standard_dfm,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,3.24407388138464,,,not_available,3.0876,0.15647388138464002,False,True,0,,,,,,,13,,0.0
release_dfm,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,3.24407388138464,,,not_available,3.0876,0.15647388138464002,False,True,0,,,,,,,13,,0.0
revision_dfm_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,2.8516874044596907,6.17556870164779,2.485069154298888,model_implied_state_space,3.0876,-0.2359125955403094,False,True,32,-917.6829373739922,-1763.7892868605556,-917.6829373739922,0.08857294968174756,9.640367456599106e-05,32.0,13,,0.0
indicator_revision_only_dfm_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,4.559144789335375,7.7812639155202294,2.789491694829047,model_implied_state_space,3.0876,1.4715447893353746,False,True,41,-1687.5914992509581,-2601.9389575226114,-1687.5914992509581,0.16437172482369533,9.733302939087313e-05,41.0,13,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,3.452014357805629,6.1321524137146195,2.476318318333614,model_implied_state_space,3.0876,0.3644143578056287,False,True,37,-1656.4458670540416,-2614.3997397592493,-1656.4458670540416,0.1653447752462398,9.974882775061016e-05,37.0,13,,0.0
ar,exact,2005:Q1:pre_second:exact,2005-05-25,pre_second,S,2005:Q1,3.2499698412702402,,,not_available,3.4827,-0.23273015872975966,False,True,0,,,,,,,13,,0.0
no_revision,exact,2005:Q1:pre_second:exact,2005-05-25,pre_second,S,2005:Q1,3.0876,,,not_available,3.4827,-0.3950999999999998,False,True,0,,,,,,,13,,0.0
bridge,exact,2005:Q1:pre_second:exact,2005-05-25,pre_second,S,2005:Q1,3.2504980081513053,,,not_available,3.4827,-0.2322019918486946,False,True,0,,,,,,,13,,0.0
midas_umidas,exact,2005:Q1:pre_second:exact,2005-05-25,pre_second,S,2005:Q1,2.991623437602582,,,not_available,3.4827,-0.49107656239741804,False,True,0,,,,,,,13,,0.0
