model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
ar,exact,pre_advance,DELTA_SA,2,0.06075385945226836,0.045543504004000646,0.04020970879506036,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_advance,DELTA_SA,2,0.052186172674678025,0.042872844389670206,0.02975425738227111,0.8589770780847003,,1.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,2,0.0666882673339172,0.05135000000000001,-0.05135000000000001,1.0976795208592671,,0.0,0.0,20.0,0.0001890607610564362,0.0001890607610564362,0.00020950176271999853,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,2,0.11759344887448894,0.09945664636743001,0.0627422880642794,1.9355716646590486,,1.0,0.0,20.0,0.00027890938413001006,0.00027890938413001006,0.0002969818724644999,0.0,0.0
midas_umidas,exact,pre_advance,DELTA_SA,2,0.9617074524147453,0.8706766129116711,-0.4084157927391151,15.829569694585684,,0.5,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,2,0.03733925898595034,0.03673294405427119,0.03673294405427119,0.6145989624788555,,1.0,0.0,20.0,0.0003448884256920488,0.0003448884256920488,0.0003502241674328863,0.0,0.0
no_revision,exact,pre_advance,DELTA_SA,2,0.0666882673339172,0.05135000000000001,-0.05135000000000001,1.0976795208592671,,0.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,DELTA_SA,2,0.05920438204374723,0.042697724331562825,0.041012963683301984,0.9744958193192896,,1.0,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,2,0.08432758507716617,0.0654886763194853,0.0654886763194853,1.3880202152987278,,1.0,0.0,20.0,0.00022403681787705145,0.00022403681787705145,0.0002248192310692626,0.0,0.0
spf,exact,pre_advance,DELTA_SA,2,0.0666882673339172,0.05135000000000001,-0.05135000000000001,1.0976795208592671,,0.0,1.0,0.0,,,,0.0,0.0
