model_id,timing_mode,checkpoint_id,outcome_id,forecast_origin,forecast_origin_date,target_quarter,forecast_value,realized_value,forecast_error,calibration_n,predictive_variance,predictive_sd,log_score,crps,pit,prob_below_zero,prob_large_positive_revision_gt_0p2,prob_large_negative_revision_lt_minus_0p2,realized_below_zero,realized_large_positive_revision_gt_0p2,realized_large_negative_revision_lt_minus_0p2,lower_68,upper_68,covered_68,lower_90,upper_90,covered_90,density_method
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,2024:Q1:pre_advance:exact,2024-04-24,2024:Q1,1.797576211034928,1.5897,0.2078762110349281,0,14.162994368996287,3.7633753957048035,-2.2457803427142955,0.8840615713654345,0.47797496958434466,0.3164496730076112,0.6644016598564956,0.2977808491536452,False,True,False,-1.9657991846698755,5.5609516067397315,True,-4.39262545817005,7.987777880239905,True,model_implied_state_space
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,2024:Q2:pre_advance:exact,2024-07-24,2024:Q2,3.173262829628834,2.8401,0.3331628296288338,1,14.163567308858257,3.763451515412183,-2.248193440834384,0.8912582543673664,0.4647293608245266,0.19956420450895385,0.7852466781148248,0.18504051688557085,False,True,False,-0.5901886857833492,6.9367143450410165,True,-3.01706404535291,9.363589704610577,True,model_implied_state_space
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,2024:Q3:pre_advance:exact,2024-10-29,2024:Q3,1.6298627567609318,2.8248,-1.1949372432390684,2,16.63763201241233,4.078925350188739,-2.3676830971944494,1.0918884499714363,0.6152213199654082,0.34473242422087425,0.6370365973193775,0.32685508937933117,False,True,False,-2.4490625934278074,5.708788106949671,True,-5.07937239956132,8.339097913083183,True,model_implied_state_space
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,2024:Q4:pre_advance:exact,2025-01-29,2024:Q4,2.3016807321524015,2.2512,0.0504807321524016,3,16.484815210602445,4.060149653719977,-2.3202356591356446,0.9490869690987406,0.4950399908207745,0.28539257710874744,0.6976439653977315,0.26889617574555286,False,True,False,-1.7584689215675753,6.361830385872379,True,-4.376671151734666,8.98003261603947,True,model_implied_state_space
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,2024:Q1:pre_second:exact,2024-05-29,2024:Q1,1.711352771257832,1.2492,0.4621527712578319,0,11.642168921301137,3.4120622680867267,-2.1554283244846437,0.8223163330378577,0.4461293287129102,0.3079886528322249,0.6710969074538966,0.2876799597823625,False,True,False,-1.7007094968288947,5.123415039344559,True,-3.900990225788887,7.323695768304551,True,model_implied_state_space
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,2024:Q2:pre_second:exact,2024-08-28,2024:Q2,2.909281839556723,2.9514,-0.0421181604432772,1,11.620882348960876,3.4089415291202747,-2.145416699803399,0.7968601114048502,0.5049288869720726,0.19671135035559908,0.7866227105789354,0.18085909912413986,False,True,False,-0.4996596895635519,6.318223368676998,True,-2.6979279986822586,8.516491677795704,True,model_implied_state_space
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,2024:Q3:pre_second:exact,2024-11-26,2024:Q3,2.063772994569277,2.8336,-0.7698270054307232,2,11.63163131281356,3.4105177484970755,-2.1712777314757945,0.8660508169218589,0.5892909623589936,0.2725495849477789,0.7076313045356956,0.2534212395350436,False,True,False,-1.3467447539277986,5.474290743066352,True,-3.546029493828507,7.673575482967061,True,model_implied_state_space
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,2024:Q4:pre_second:exact,2025-02-26,2024:Q4,2.2545051253221824,2.3451,-0.0905948746778175,3,11.521790694809074,3.394376333703892,-2.1414147458812183,0.7942132652193368,0.510646384457484,0.25328489301626145,0.7274993098759519,0.23480636525779477,False,True,False,-1.1398712083817095,5.648881459026074,True,-3.3287470984089045,7.83775734905327,True,model_implied_state_space
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,2024:Q1:pre_third:exact,2024-06-26,2024:Q1,1.550077733310136,1.4095,0.1405777333101359,0,13.511438161401529,3.6757908212249415,-2.221438142147007,0.8611584183797768,0.4847464842207864,0.33662232554572535,0.6432982909615014,0.3169983006117199,False,True,False,-2.1257130879148054,5.225868554535078,True,-4.496060130896639,7.5962155975169114,True,model_implied_state_space
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,2024:Q2:pre_third:exact,2024-09-25,2024:Q2,2.865878211667982,2.9895,-0.1236217883320178,1,13.484580282767457,3.672135656912399,-2.2202786089591746,0.8598197822514585,0.5134277839461376,0.217566233222613,0.7660729122991441,0.201886075713644,False,True,False,-0.8062574452444169,6.538013868580381,True,-3.174247442262204,8.90600386559817,True,model_implied_state_space
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,2024:Q3:pre_third:exact,2024-12-18,2024:Q3,2.245566431016943,3.073,-0.8274335689830568,2,13.458388325992138,3.6685676122966764,-2.24417549503804,0.9314643878754364,0.5892230266455163,0.2702325350817922,0.7114387204890213,0.2525051909233126,False,True,False,-1.4230011812797332,5.91413404331362,True,-3.788690311785947,8.279823173819834,True,model_implied_state_space
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,2024:Q4:pre_third:exact,2025-03-26,2024:Q4,2.3012340816837846,2.4495,-0.1482659183162153,3,10.649587014320325,3.2633704990883774,-2.102731185448035,0.7653201954650418,0.5181190583624738,0.24035192801183594,0.7401748729113447,0.2217021303002826,False,True,False,-0.9621364174045928,5.564604580772162,True,-3.0665327198281687,7.6690008831957375,True,model_implied_state_space
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,2024:Q1:pre_advance:pseudo,2024-04-30,2024:Q1,1.8006930126289191,1.5897,0.2109930126289194,0,14.162719616297167,3.7633388920341955,-2.2458167629976895,0.8841914098898015,0.4776448629633879,0.3161532989516835,0.6647050432859305,0.2974921391903621,False,True,False,-1.9626458794052764,5.564031904663114,True,-4.389448613381062,7.9908346386389,True,model_implied_state_space
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,2024:Q2:pre_advance:pseudo,2024-07-31,2024:Q2,3.0933810254414,2.8401,0.2532810254413999,1,14.162428770753914,3.763300249880936,-2.246499671926984,0.8862623891003681,0.4731702835953008,0.2055423639095498,0.779006265147884,0.19075129295990303,False,True,False,-0.669919224439536,6.856681275322336,True,-3.0966970398826392,9.28345909076544,True,model_implied_state_space
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,2024:Q3:pre_advance:pseudo,2024-10-31,2024:Q3,1.635602064141821,2.8248,-1.1891979358581792,2,16.637373661107816,4.078893681025263,-2.367264778114033,1.090562606097865,0.6146843156546968,0.3442131577323029,0.6375653772016712,0.32634638965469764,False,True,False,-2.4432916168834415,5.714495745167084,True,-5.073581001042023,8.344785129325665,True,model_implied_state_space
