model_id,timing_mode,checkpoint_id,outcome_id,threshold_abs_revision,n_obs,sign_accuracy,balanced_accuracy,actual_positive_pred_positive,actual_positive_pred_nonpositive,actual_negative_pred_positive,actual_negative_pred_nonpositive,mean_abs_realized_revision,mean_abs_forecast_revision
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.1,3,0.0,0.0,0,3,0,0,0.16803333333333326,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.2,1,0.0,0.0,0,1,0,0,0.2393999999999998,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.0,4,0.0,0.5,0,2,0,2,0.5086,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.1,4,0.0,0.5,0,2,0,2,0.5086,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.2,4,0.0,0.5,0,2,0,2,0.5086,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.0,4,0.5,0.3333333333333333,2,1,1,0,0.13862499999999994,0.20346021579475687
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.1,2,0.0,0.0,0,1,1,0,0.22589999999999985,0.15135031981128438
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.2,1,0.0,0.0,0,0,1,0,0.3404999999999998,0.2489838307741783
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.0,4,0.75,0.75,3,1,0,0,0.13554999999999992,0.0013688798626518683
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.1,3,0.6666666666666666,0.6666666666666666,2,1,0,0,0.16803333333333326,0.001732267767446491
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.2,1,0.0,0.0,0,1,0,0,0.2393999999999998,7.558024404197283e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.0,4,0.5,0.5,2,0,2,0,0.5086,0.05304451555765782
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.1,4,0.5,0.5,2,0,2,0,0.5086,0.05304451555765782
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.2,4,0.5,0.5,2,0,2,0,0.5086,0.05304451555765782
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.0,4,0.5,0.3333333333333333,2,1,1,0,0.13862499999999994,0.19846398448317
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.1,2,0.0,0.0,0,1,1,0,0.22589999999999985,0.14234439702807264
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.2,1,0.0,0.0,0,0,1,0,0.3404999999999998,0.2483065861039688
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,0.0,4,0.75,0.75,3,1,0,0,0.13554999999999992,0.0013693049802786733
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,0.1,3,0.6666666666666666,0.6666666666666666,2,1,0,0,0.16803333333333326,0.001732751325458998
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,0.2,1,0.0,0.0,0,1,0,0,0.2393999999999998,7.471566276029407e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,0.0,4,0.5,0.5,2,0,2,0,0.5086,0.05305087882337453
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,0.1,4,0.5,0.5,2,0,2,0,0.5086,0.05305087882337453
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,0.2,4,0.5,0.5,2,0,2,0,0.5086,0.05305087882337453
midas_umidas,exact,pre_advance,DELTA_SA,0.0,4,0.5,0.6666666666666666,1,2,0,1,0.13862499999999994,0.8407809124397609
midas_umidas,exact,pre_advance,DELTA_SA,0.1,2,1.0,1.0,1,0,0,1,0.22589999999999985,0.8776896085170008
midas_umidas,exact,pre_advance,DELTA_SA,0.2,1,1.0,1.0,0,0,0,1,0.3404999999999998,1.598538622280412
midas_umidas,exact,pre_second,DELTA_TS,0.0,4,0.25,0.25,1,3,0,0,0.13554999999999992,0.26698328250275377
midas_umidas,exact,pre_second,DELTA_TS,0.1,3,0.0,0.0,0,3,0,0,0.16803333333333326,0.35049865619468146
midas_umidas,exact,pre_second,DELTA_TS,0.2,1,0.0,0.0,0,1,0,0,0.2393999999999998,0.0172245769983492
midas_umidas,exact,pre_third,DELTA_MT,0.0,4,0.25,0.25,0,2,1,1,0.5086,1.4052779650527927
midas_umidas,exact,pre_third,DELTA_MT,0.1,4,0.25,0.25,0,2,1,1,0.5086,1.4052779650527927
midas_umidas,exact,pre_third,DELTA_MT,0.2,4,0.25,0.25,0,2,1,1,0.5086,1.4052779650527927
midas_umidas,pseudo,pre_advance,DELTA_SA,0.0,4,0.5,0.6666666666666666,1,2,0,1,0.13862499999999994,0.8197818056359732
midas_umidas,pseudo,pre_advance,DELTA_SA,0.1,2,1.0,1.0,1,0,0,1,0.22589999999999985,0.9186741662578874
midas_umidas,pseudo,pre_advance,DELTA_SA,0.2,1,1.0,1.0,0,0,0,1,0.3404999999999998,1.588642189060704
midas_umidas,pseudo,pre_second,DELTA_TS,0.0,4,0.25,0.25,1,3,0,0,0.13554999999999992,0.25815124914887044
midas_umidas,pseudo,pre_second,DELTA_TS,0.1,3,0.0,0.0,0,3,0,0,0.16803333333333326,0.3363954363685722
midas_umidas,pseudo,pre_second,DELTA_TS,0.2,1,0.0,0.0,0,1,0,0,0.2393999999999998,0.0016842683542348
midas_umidas,pseudo,pre_third,DELTA_MT,0.0,4,0.25,0.25,0,2,1,1,0.5086,1.3407701532533571
midas_umidas,pseudo,pre_third,DELTA_MT,0.1,4,0.25,0.25,0,2,1,1,0.5086,1.3407701532533571
midas_umidas,pseudo,pre_third,DELTA_MT,0.2,4,0.25,0.25,0,2,1,1,0.5086,1.3407701532533571
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,0.0,4,0.75,0.5,3,0,1,0,0.13862499999999994,0.0758012306344591
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,0.1,2,0.5,0.5,1,0,1,0,0.22589999999999985,0.06119140537121865
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,0.2,1,0.0,0.0,0,0,1,0,0.3404999999999998,0.1148618374233729
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,0.0,4,0.5,0.5,2,2,0,0,0.13554999999999992,0.058234783964407955
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,0.1,3,0.6666666666666666,0.6666666666666666,2,1,0,0,0.16803333333333326,0.059642114505429805
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,0.2,1,0.0,0.0,0,1,0,0,0.2393999999999998,0.0781460389987231
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,0.0,4,0.0,0.0,0,2,2,0,0.5086,0.048079159822467354
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,0.1,4,0.0,0.0,0,2,2,0,0.5086,0.048079159822467354
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,0.2,4,0.0,0.0,0,2,2,0,0.5086,0.048079159822467354
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,DELTA_SA,0.0,4,0.75,0.5,3,0,1,0,0.13862499999999994,0.07461543940204507
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,DELTA_SA,0.1,2,0.5,0.5,1,0,1,0,0.22589999999999985,0.0592618596898596
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,DELTA_SA,0.2,1,0.0,0.0,0,0,1,0,0.3404999999999998,0.1142312060685906
monthly_mixed_frequency_kalman_em,pseudo,pre_second,DELTA_TS,0.0,4,0.5,0.5,2,2,0,0,0.13554999999999992,0.057971280826271177
monthly_mixed_frequency_kalman_em,pseudo,pre_second,DELTA_TS,0.1,3,0.6666666666666666,0.6666666666666666,2,1,0,0,0.16803333333333326,0.05940660591195366
monthly_mixed_frequency_kalman_em,pseudo,pre_second,DELTA_TS,0.2,1,0.0,0.0,0,1,0,0,0.2393999999999998,0.0784606604577389
monthly_mixed_frequency_kalman_em,pseudo,pre_third,DELTA_MT,0.0,4,0.0,0.0,0,2,2,0,0.5086,0.04757756963682005
