model_id,timing_mode,checkpoint_id,outcome_id,n_density_forecasts,mean_log_score,mean_crps,coverage_68,coverage_90,mean_predictive_sd
ar,exact,pre_advance,DELTA_SA,67,-1.0821039796494922,0.364017857985642,0.8507462686567164,0.9402985074626866,0.7648956778591413
ar,exact,pre_second,DELTA_TS,67,-0.7816245991141392,0.22116498464856163,0.7611940298507462,0.8656716417910447,0.38633474140248364
ar,exact,pre_third,DELTA_MT,61,-3.0772030064318274,1.6771749789422925,0.7540983606557377,0.8852459016393442,2.566066452104668
ar,pseudo,pre_advance,DELTA_SA,67,-1.0821039796494922,0.364017857985642,0.8507462686567164,0.9402985074626866,0.7648956778591413
ar,pseudo,pre_second,DELTA_TS,67,-0.7816245991141392,0.22116498464856163,0.7611940298507462,0.8656716417910447,0.38633474140248364
ar,pseudo,pre_third,DELTA_MT,61,-3.0772030064318274,1.6771749789422925,0.7540983606557377,0.8852459016393442,2.566066452104668
bridge,exact,pre_advance,DELTA_SA,67,-1.152814460082281,0.3912687746734345,0.8507462686567164,0.8955223880597015,0.8063619911919397
bridge,exact,pre_second,DELTA_TS,67,-0.775500046159135,0.2735474925531921,0.746268656716418,0.9402985074626866,0.5267716726770005
bridge,exact,pre_third,DELTA_MT,61,-2.289850339765158,1.2061829068301138,0.6229508196721312,0.8852459016393442,1.8555635049326578
bridge,pseudo,pre_advance,DELTA_SA,67,-1.1614828043504952,0.39313687212249143,0.8656716417910447,0.8955223880597015,0.8137741417439789
bridge,pseudo,pre_second,DELTA_TS,67,-0.7776326232760936,0.2740418031577703,0.746268656716418,0.9402985074626866,0.5262580012471592
bridge,pseudo,pre_third,DELTA_MT,61,-2.2894422282636557,1.2046011309306135,0.6229508196721312,0.8852459016393442,1.8542375827954996
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,-0.8771217954133222,0.3083736070366644,0.8354430379746836,0.9367088607594937,0.6670954736418975
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,79,-0.41603616032680873,0.18408873919664132,0.8481012658227848,0.9493670886075949,0.37976328272679216
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,73,-1.7768523778538685,0.790119376912651,0.7808219178082192,0.8904109589041096,1.5240624146958615
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,79,-0.8770108696249767,0.3083573848111251,0.8354430379746836,0.9367088607594937,0.6670117879737326
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,79,-0.416030423241121,0.18408784334480272,0.8481012658227848,0.9493670886075949,0.37977112387883866
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,73,-1.7768587798585223,0.7901217647394942,0.7808219178082192,0.8904109589041096,1.5240425969281997
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,79,-0.955551090164592,0.3414833097264463,0.7468354430379747,0.9113924050632911,0.6326522907979218
