model_id,timing_mode,checkpoint_id,n_matrices,share_psd,max_asymmetry,min_eigenvalue_min,min_eigenvalue_median,max_eigenvalue_median
indicator_revision_only_dfm_kalman_em,exact,pre_advance,80,1.0,0.0,0.0635803074547873,0.0673421524806268,15.832144803838592
indicator_revision_only_dfm_kalman_em,exact,pre_second,80,1.0,0.0,0.061323243740639,0.06428705196153164,2.8826719565061314
indicator_revision_only_dfm_kalman_em,exact,pre_third,80,1.0,0.0,0.0333156571808037,0.0449403525848925,2.2533553320786597
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,80,1.0,0.0,0.0632921074558191,0.06731278206656005,15.915933881247511
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,80,1.0,0.0,0.0617205834273056,0.064287047069777,2.8826678159713253
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,80,1.0,0.0,0.0333157049781881,0.04498483375671,2.253355395500374
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,80,1.0,1.7763568394002505e-15,0.0614217746865606,0.06475410887692815,14.841832816629793
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,80,1.0,1.1102230246251563e-16,0.0609476631312684,0.06453193030057625,2.743872642266302
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,80,1.0,5.551115123125783e-17,0.0342532026309396,0.051486294962995297,2.256616330728405
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,80,1.0,1.7763568394002505e-15,0.0612985311635762,0.0647594427394125,14.841833231385415
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,80,1.0,1.1102230246251563e-16,0.0613423174787879,0.06444989234006915,2.743908171269209
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,80,1.0,2.7755575615628914e-17,0.034253390854508,0.05148626473321435,2.256616404758858
monthly_mixed_frequency_kalman_em,exact,pre_advance,80,1.0,1.7763568394002505e-15,0.0603062593928493,0.06439715616131755,21.05183645617869
monthly_mixed_frequency_kalman_em,exact,pre_second,80,1.0,2.220446049250313e-16,0.0576910350583371,0.06276444594450276,3.1267804909036685
monthly_mixed_frequency_kalman_em,exact,pre_third,80,1.0,6.245004513516506e-17,0.0577243368101258,0.06213844766928775,2.4543015906073746
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,80,1.0,1.7763568394002505e-15,0.0603062689718015,0.0643967624645465,21.037055713350814
monthly_mixed_frequency_kalman_em,pseudo,pre_second,80,1.0,1.6653345369377348e-16,0.0576912124665168,0.06276421942439639,3.12672136080211
monthly_mixed_frequency_kalman_em,pseudo,pre_third,80,1.0,6.245004513516506e-17,0.0577243984916953,0.06207934217770575,2.4542825185093013
revision_dfm_kalman_em,exact,pre_advance,80,1.0,1.7763568394002505e-15,0.0620425609158938,0.06684942231729779,20.85718745323431
revision_dfm_kalman_em,exact,pre_second,80,1.0,1.1102230246251563e-16,0.0617814223166729,0.0666093088254982,2.7735625840597047
revision_dfm_kalman_em,exact,pre_third,80,1.0,2.7755575615628914e-17,0.0462035512804218,0.0537523125281187,2.258049980721476
revision_dfm_kalman_em,pseudo,pre_advance,80,1.0,1.7763568394002505e-15,0.0620425584521911,0.06684934053757874,20.850325117127806
revision_dfm_kalman_em,pseudo,pre_second,80,1.0,1.1102230246251563e-16,0.0617817061404067,0.06660923641310304,2.7735585407431502
revision_dfm_kalman_em,pseudo,pre_third,80,1.0,1.1102230246251563e-16,0.0462035512804218,0.053752351838767046,2.258049535443112
