model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,revision_target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,n_indicators,initialization_seed,initialization_jitter
ar,exact,2019:Q1:pre_advance:exact,2019-04-25,pre_advance,DELTA_SA,DELTA_SA,2019:Q1,0.4648889202031996,,,not_available,-0.10470000000000024,0.5695889202031998,True,True,0,,,,,,,14,1,0.02
no_revision,exact,2019:Q1:pre_advance:exact,2019-04-25,pre_advance,DELTA_SA,DELTA_SA,2019:Q1,0.0,,,not_available,-0.10470000000000024,0.10470000000000024,True,True,0,,,,,,,14,1,0.02
bridge,exact,2019:Q1:pre_advance:exact,2019-04-25,pre_advance,DELTA_SA,DELTA_SA,2019:Q1,-0.8963490410084507,,,not_available,-0.10470000000000024,-0.7916490410084505,True,True,0,,,,,,,14,1,0.02
midas_umidas,exact,2019:Q1:pre_advance:exact,2019-04-25,pre_advance,DELTA_SA,DELTA_SA,2019:Q1,-0.277062365539126,,,not_available,-0.10470000000000024,-0.17236236553912576,True,True,0,,,,,,,14,1,0.02
monthly_mixed_frequency_kalman_em,exact,2019:Q1:pre_advance:exact,2019-04-25,pre_advance,DELTA_SA,DELTA_SA,2019:Q1,0.0722382020011556,0.3496579782164604,0.5913188464918571,model_implied_state_space,-0.10470000000000024,0.17693820200115584,True,True,54,-6285.22325928218,-7334.434583170255,-6285.22325928218,0.6243558635778754,9.931143584166545e-05,54.0,14,1,0.02
standard_dfm,exact,2019:Q1:pre_advance:exact,2019-04-25,pre_advance,DELTA_SA,DELTA_SA,2019:Q1,0.03229029921893689,,,not_available,-0.10470000000000024,0.13699029921893713,True,True,0,,,,,,,14,1,0.02
release_dfm,exact,2019:Q1:pre_advance:exact,2019-04-25,pre_advance,DELTA_SA,DELTA_SA,2019:Q1,0.03229029921893689,,,not_available,-0.10470000000000024,0.13699029921893713,True,True,0,,,,,,,14,1,0.02
revision_dfm_kalman_em,exact,2019:Q1:pre_advance:exact,2019-04-25,pre_advance,DELTA_SA,DELTA_SA,2019:Q1,0.07799149429313523,0.4114609043100872,0.6414521839623646,model_implied_state_space,-0.10470000000000024,0.18269149429313547,True,True,21,-1989.6473372830972,-2960.956351916893,-1989.6473372830972,0.17921086993965218,9.001832435171849e-05,21.0,14,1,0.02
indicator_revision_only_dfm_kalman_em,exact,2019:Q1:pre_advance:exact,2019-04-25,pre_advance,DELTA_SA,DELTA_SA,2019:Q1,0.0,0.4384021507913163,0.6621194384635722,model_implied_state_space,-0.10470000000000024,0.10470000000000024,True,True,25,-3681.8485663185447,-4853.745260936312,-3681.8485663185447,0.337493714053835,9.163091642751492e-05,25.0,14,1,0.02
joint_indicator_revision_dfm_full_kalman_em,exact,2019:Q1:pre_advance:exact,2019-04-25,pre_advance,DELTA_SA,DELTA_SA,2019:Q1,0.03746320545963355,0.3957660314344329,0.6290993812065252,model_implied_state_space,-0.10470000000000024,0.1421632054596338,True,True,26,-3646.4753530512185,-4868.636514122485,-3646.4753530512185,0.34131569033752385,9.356711735605748e-05,26.0,14,1,0.02
ar,exact,2019:Q1:pre_second:exact,2019-05-29,pre_second,DELTA_TS,DELTA_TS,2019:Q1,-0.5635001866146694,,,not_available,0.06099999999999994,-0.6245001866146693,True,True,0,,,,,,,14,1,0.02
no_revision,exact,2019:Q1:pre_second:exact,2019-05-29,pre_second,DELTA_TS,DELTA_TS,2019:Q1,0.0,,,not_available,0.06099999999999994,-0.06099999999999994,True,True,0,,,,,,,14,1,0.02
bridge,exact,2019:Q1:pre_second:exact,2019-05-29,pre_second,DELTA_TS,DELTA_TS,2019:Q1,0.8923743808409088,,,not_available,0.06099999999999994,0.8313743808409089,True,True,0,,,,,,,14,1,0.02
midas_umidas,exact,2019:Q1:pre_second:exact,2019-05-29,pre_second,DELTA_TS,DELTA_TS,2019:Q1,0.1692563726873546,,,not_available,0.06099999999999994,0.10825637268735466,True,True,0,,,,,,,14,1,0.02
monthly_mixed_frequency_kalman_em,exact,2019:Q1:pre_second:exact,2019-05-29,pre_second,DELTA_TS,DELTA_TS,2019:Q1,0.22826322812823108,0.1448815061963019,0.38063303350642325,model_implied_state_space,0.06099999999999994,0.16726322812823113,True,True,50,-6312.701696013429,-7328.980019682591,-6312.701696013429,0.6195132228340299,9.811240231615679e-05,50.0,14,1,0.02
standard_dfm,exact,2019:Q1:pre_second:exact,2019-05-29,pre_second,DELTA_TS,DELTA_TS,2019:Q1,0.05165552868850387,,,not_available,0.06099999999999994,-0.009344471311496072,True,True,0,,,,,,,14,1,0.02
release_dfm,exact,2019:Q1:pre_second:exact,2019-05-29,pre_second,DELTA_TS,DELTA_TS,2019:Q1,0.04575425000561806,,,not_available,0.06099999999999994,-0.015245749994381885,True,True,0,,,,,,,14,1,0.02
revision_dfm_kalman_em,exact,2019:Q1:pre_second:exact,2019-05-29,pre_second,DELTA_TS,DELTA_TS,2019:Q1,0.00831359055599279,0.14952147487660372,0.38668006785533143,model_implied_state_space,0.06099999999999994,-0.052686409444007154,True,True,21,-1990.4742029021602,-2962.0697015271653,-1990.4742029021602,0.18340546773083588,9.208684613262792e-05,21.0,14,1,0.02
indicator_revision_only_dfm_kalman_em,exact,2019:Q1:pre_second:exact,2019-05-29,pre_second,DELTA_TS,DELTA_TS,2019:Q1,0.0,0.15397014216977067,0.3923902931645617,model_implied_state_space,0.06099999999999994,-0.06099999999999994,True,True,25,-3683.048964163974,-4854.952847441515,-3683.048964163974,0.3384161321710053,9.18513981403888e-05,25.0,14,1,0.02
joint_indicator_revision_dfm_full_kalman_em,exact,2019:Q1:pre_second:exact,2019-05-29,pre_second,DELTA_TS,DELTA_TS,2019:Q1,0.006201409127762236,0.148655785314599,0.3855590555473947,model_implied_state_space,0.06099999999999994,-0.05479859087223771,True,True,26,-3647.644655152537,-4869.9531601477465,-3647.644655152537,0.3420790589166245,9.374631475347027e-05,26.0,14,1,0.02
ar,exact,2019:Q1:pre_third:exact,2019-06-26,pre_third,DELTA_MT,DELTA_MT,2019:Q1,0.29507328704170277,,,not_available,-0.6073999999999997,0.9024732870417025,True,True,0,,,,,,,14,1,0.02
no_revision,exact,2019:Q1:pre_third:exact,2019-06-26,pre_third,DELTA_MT,DELTA_MT,2019:Q1,0.0,,,not_available,-0.6073999999999997,0.6073999999999997,True,True,0,,,,,,,14,1,0.02
bridge,exact,2019:Q1:pre_third:exact,2019-06-26,pre_third,DELTA_MT,DELTA_MT,2019:Q1,-0.2460835305255178,,,not_available,-0.6073999999999997,0.3613164694744819,True,True,0,,,,,,,14,1,0.02
midas_umidas,exact,2019:Q1:pre_third:exact,2019-06-26,pre_third,DELTA_MT,DELTA_MT,2019:Q1,-0.12965189226681062,,,not_available,-0.6073999999999997,0.4777481077331891,True,True,0,,,,,,,14,1,0.02
monthly_mixed_frequency_kalman_em,exact,2019:Q1:pre_third:exact,2019-06-26,pre_third,DELTA_MT,DELTA_MT,2019:Q1,0.14522074281064423,4.4784901265845125,2.1162443447259376,model_implied_state_space,-0.6073999999999997,0.752620742810644,True,True,52,-6328.886922084899,-7349.5487198973715,-6328.886922084899,0.6279233508239486,9.918993417678798e-05,52.0,14,1,0.02
standard_dfm,exact,2019:Q1:pre_third:exact,2019-06-26,pre_third,DELTA_MT,DELTA_MT,2019:Q1,0.2069325298377389,,,not_available,-0.6073999999999997,0.8143325298377386,True,True,0,,,,,,,14,1,0.02
release_dfm,exact,2019:Q1:pre_third:exact,2019-06-26,pre_third,DELTA_MT,DELTA_MT,2019:Q1,-0.05832211075326654,,,not_available,-0.6073999999999997,0.5490778892467332,True,True,0,,,,,,,14,1,0.02
revision_dfm_kalman_em,exact,2019:Q1:pre_third:exact,2019-06-26,pre_third,DELTA_MT,DELTA_MT,2019:Q1,0.0024320143277876127,4.362208176585896,2.08858999724357,model_implied_state_space,-0.6073999999999997,0.6098320143277873,True,True,22,-1989.5106838353981,-2978.7789078415194,-1989.5106838353981,0.19622076590508186,9.856838565814929e-05,22.0,14,1,0.02
