model_id,timing_mode,checkpoint_id,target_id,n_forecasts,n_variance,share_positive_variance,share_finite_sd,min_forecast_variance,median_forecast_variance,max_forecast_variance,mean_forecast_sd,empirical_error_sd,RMSE,mean_sd_to_rmse,mean_sd_to_empirical_error_sd,coverage_68,coverage_90,model_implied_share
ar,exact,pre_advance,A,1,0,0.0,0.0,,,,,,0.2518214835002665,,,,,0.0
ar,exact,pre_second,S,1,0,0.0,0.0,,,,,,0.2464876882913262,,,,,0.0
ar,exact,pre_third,T,1,0,0.0,0.0,,,,,,0.2217239159811934,,,,,0.0
ar,pseudo,pre_advance,A,1,0,0.0,0.0,,,,,,0.2518214835002665,,,,,0.0
ar,pseudo,pre_second,S,1,0,0.0,0.0,,,,,,0.2464876882913262,,,,,0.0
ar,pseudo,pre_third,T,1,0,0.0,0.0,,,,,,0.2217239159811934,,,,,0.0
bridge,exact,pre_advance,A,1,0,0.0,0.0,,,,,,0.2526993338243564,,,,,0.0
bridge,exact,pre_second,S,1,0,0.0,0.0,,,,,,0.0718421510976861,,,,,0.0
bridge,exact,pre_third,T,1,0,0.0,0.0,,,,,,0.0452634908066409,,,,,0.0
bridge,pseudo,pre_advance,A,1,0,0.0,0.0,,,,,,0.3295494318233607,,,,,0.0
bridge,pseudo,pre_second,S,1,0,0.0,0.0,,,,,,0.1244124501759973,,,,,0.0
bridge,pseudo,pre_third,T,1,0,0.0,0.0,,,,,,0.0127407432326971,,,,,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,1,1,1.0,1.0,8.295976687516998,8.295976687516998,8.295976687516998,2.8802737174645396,,0.2633709718275088,10.936185174389436,,1.0,1.0,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,1,1,1.0,1.0,5.2548691586605685,5.2548691586605685,5.2548691586605685,2.2923501387572904,,0.0036728220334714,624.1386372294918,,1.0,1.0,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,1,1,1.0,1.0,4.632740883984384,4.632740883984384,4.632740883984384,2.1523802833106385,,0.0905452843440337,23.771312872932242,,1.0,1.0,1.0
