model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count,run_label,source_dir,inferred_max_iter
ar,exact,pre_third,T,80,6.853900266254954,2.504536216607909,0.0681353139193999,1.0,1.0,0.9,1.0,0.0,,,,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
bridge,exact,pre_third,T,80,4.401929763157702,2.034724902716331,-0.0398637238758493,0.6422517971016471,0.1851955957714749,0.9,1.0,0.0,,,,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,0.3697870814143022,0.2414878686209594,-0.0484411788986062,0.0539527957876687,0.1487694751001617,1.0,1.0,30.6125,9.240740225633756e-05,9.355785774099046e-05,9.987629651028802e-05,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,0.3724784896802396,0.2470453309926989,-0.0410789260504835,0.0543454785174115,0.1487928225145469,1.0,1.0,31.425,9.153522166525398e-05,9.308404620191686e-05,9.99572538723418e-05,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
midas_umidas,exact,pre_third,T,80,6.190490508808118,2.464334501422888,0.3600422160923934,0.9032069724280756,0.386671894836855,0.875,1.0,0.0,,,,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
monthly_mixed_frequency_kalman_em,exact,pre_third,T,80,0.3780040019297633,0.2593436901557943,0.0108167885110842,0.0551516636141991,0.1488284528413047,1.0,1.0,39.025,9.731653573356308e-05,9.78342824685252e-05,9.998084912168654e-05,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
no_revision,exact,pre_third,T,80,0.3621867125530698,0.2402725,-0.0484925,0.0528438842823974,0.1487243773879313,1.0,1.0,0.0,,,,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
release_dfm,exact,pre_third,T,80,0.4449386568465726,0.2946584266383597,-0.0272952668462236,0.0649175855442804,0.14929469132487,1.0,1.0,0.0,,,,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
revision_dfm_kalman_em,exact,pre_third,T,80,0.3712150715058359,0.2437538083519409,-0.0397413412993032,0.0541611428653997,0.1487848027664768,1.0,1.0,34.3125,9.54149676731776e-05,9.60628400675017e-05,9.995555750809928e-05,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
spf,exact,pre_third,T,80,2.380187605841187,1.481165,-0.0809825000000001,0.3472749111276093,0.1707967407961682,0.925,1.0,0.0,,,,0.0,0.0,sensitivity_k2_max_iter100,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100,100
