run_group,run_name,failure_rows,run_dir
sensitivity,sensitivity_midas_lags4_max_iter100,0,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter100
sensitivity,sensitivity_midas_lags9_max_iter100,0,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags9_max_iter100
