model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,revision_target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,n_indicators,initialization_seed,initialization_jitter
ar,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.3356948084435101,,,not_available,0.3950999999999998,-0.05940519155648971,True,True,0,,,,,,,13,,0.0
no_revision,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.0,,,not_available,0.3950999999999998,-0.3950999999999998,True,True,0,,,,,,,13,,0.0
bridge,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.26328560705155235,,,not_available,0.3950999999999998,-0.13181439294844743,True,True,0,,,,,,,13,,0.0
midas_umidas,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,-5.913731381630731,,,not_available,0.3950999999999998,-6.30883138163073,True,True,0,,,,,,,13,,0.0
monthly_mixed_frequency_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,-0.01770086465016041,0.323400574892708,0.5686831937842968,model_implied_state_space,0.3950999999999998,-0.4128008646501602,True,False,100,-2988.06620563235,-3759.8754573896226,-2988.06620563235,0.8562145196074198,0.0002863668013044647,101.0,13,,0.0
standard_dfm,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.13413726161412365,,,not_available,0.3950999999999998,-0.26096273838587614,True,True,0,,,,,,,13,,0.0
release_dfm,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.13413726161412365,,,not_available,0.3950999999999998,-0.26096273838587614,True,True,0,,,,,,,13,,0.0
revision_dfm_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.08107079276781226,0.3990689179595428,0.6317190182031429,model_implied_state_space,0.3950999999999998,-0.3140292072321875,True,True,32,-1063.6987227192628,-1771.0751809212165,-1063.6987227192628,0.10229682279486951,9.607130432582101e-05,32.0,13,,0.0
indicator_revision_only_dfm_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.0,0.43868896012233627,0.6623359873374964,model_implied_state_space,0.3950999999999998,-0.3950999999999998,True,True,40,-1831.5895501079165,-2610.6694668208806,-1831.5895501079165,0.17261582709534196,9.418342996363597e-05,40.0,13,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.2598827023391306,0.39461388746481063,0.628183004756425,model_implied_state_space,0.3950999999999998,-0.1352172976608692,True,True,38,-1802.147115227873,-2621.378260846373,-1802.147115227873,0.16952708836106467,9.400849766645473e-05,38.0,13,,0.0
