model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,initialization_seed,source_dir
release_dfm,exact,pre_second,S,24,0.7390878842903454,0.2998666528081681,-0.0670411703262706,0.0603875567526392,0.1728272103911091,1.0,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
revision_dfm_kalman_em,exact,pre_second,S,24,0.7314529949855157,0.3662468721258247,-0.0074617528170617,0.0597637441844786,0.1726519472154784,1.0,1.0,25.625,9.355259422441884e-05,9.29510447369126e-05,9.937386076448296e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
standard_dfm,exact,pre_second,S,24,4.790158141557883,2.7117813196919696,0.683375470944036,0.3913823413641663,0.2074796271771711,0.875,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
ar,exact,pre_third,T,24,12.10671693531214,4.872120717856216,-0.6749672842987677,1.0,1.0,0.8333333333333334,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
bridge,exact,pre_third,T,24,7.605250884079299,3.638007051216055,-0.1425175292660361,0.6281844140500851,0.1968944926594518,0.8333333333333334,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,24,0.2333215102591984,0.1640390853058362,-0.1088898760189123,0.0192720711573474,0.1704033020114944,1.0,1.0,41.75,8.989848508817706e-05,9.200948418211756e-05,9.991929814239268e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,24,0.2348914161594245,0.1690690390085445,-0.1023160721187096,0.0194017434631107,0.1704107270818786,1.0,1.0,41.541666666666664,9.100390032573348e-05,9.006931137741294e-05,9.91853472850348e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
midas_umidas,exact,pre_third,T,24,10.496961853885134,3.7743354487782543,0.3561815625886979,0.8670362006456291,0.2676893349539759,1.0,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
monthly_mixed_frequency_kalman_em,exact,pre_third,T,24,0.264864793939048,0.2032905490740368,-0.0788767277580927,0.0218775077797108,0.1704610830533953,1.0,1.0,34.625,9.517224455091808e-05,9.56304261449348e-05,9.999501178932916e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
no_revision,exact,pre_third,T,24,0.2279327879734142,0.1606416666666668,-0.1075833333333334,0.0188269692924424,0.1703990737512004,1.0,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
release_dfm,exact,pre_third,T,24,0.3667449778528177,0.1995592430608418,-0.0789388704526722,0.0302926862676633,0.1705447503971979,1.0,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
revision_dfm_kalman_em,exact,pre_third,T,24,0.2357157989576359,0.1666914744709937,-0.1036189199417692,0.0194698364731824,0.1704110440407123,1.0,1.0,25.666666666666668,9.521891062171002e-05,9.63034690618854e-05,9.95411701204e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
