model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,initialization_seed,source_dir
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,24,0.2296246434642451,0.1627363410934191,-0.1054445755198691,0.8343252063829767,0.336944060073452,0.5,1.0,25.625,9.355259422441884e-05,9.29510447369126e-05,9.937386076448296e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
standard_dfm,exact,pre_second,DELTA_TS,24,0.2255574576124041,0.1624624526329,-0.0525108991772206,0.8195473688475924,0.336343517051739,0.625,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
ar,exact,pre_third,DELTA_MT,24,4.584056189542174,2.021314604871032,-0.0790252090259961,1.0,1.0,0.375,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
bridge,exact,pre_third,DELTA_MT,24,2.3414096138344043,1.6843686394961634,-0.6793165558982138,0.5107724506466508,0.2502434009676639,0.4583333333333333,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,24,1.102316552954126,0.7735958333333333,-0.5159374999999999,0.2404675046237202,0.1652951762247239,0.0,1.0,41.75,8.989848508817706e-05,9.200948418211756e-05,9.991929814239268e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,24,1.100050965150715,0.7730881987921322,-0.5141481172302548,0.2399732725048863,0.1651813843560418,0.5,1.0,41.541666666666664,9.100390032573348e-05,9.006931137741294e-05,9.91853472850348e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
midas_umidas,exact,pre_third,DELTA_MT,24,8.75802309942492,5.087704573612623,1.8569530713162743,1.9105400844354865,0.2269481723080915,0.4166666666666667,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,24,1.1148773177793003,0.7819149244432432,-0.4863167302273645,0.2432076029789344,0.1669057535974122,0.4583333333333333,1.0,34.625,9.517224455091808e-05,9.56304261449348e-05,9.999501178932916e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
no_revision,exact,pre_third,DELTA_MT,24,1.102316552954126,0.7735958333333333,-0.5159374999999999,0.2404675046237202,0.1652951762247239,0.0,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
release_dfm,exact,pre_third,DELTA_MT,24,1.1076363003364371,0.7648651783427288,-0.1832654741497924,0.2416279937543829,0.1546341127254534,0.6666666666666666,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,24,1.1011486446110992,0.7730341000092559,-0.514108183223294,0.2402127284397608,0.165261973694042,0.625,1.0,25.666666666666668,9.521891062171002e-05,9.63034690618854e-05,9.95411701204e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
standard_dfm,exact,pre_third,DELTA_MT,24,1.854303427098974,1.2217814222744827,-0.8264086744624409,0.4045114960260052,0.1739218547051463,0.4166666666666667,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
ar,pseudo,pre_advance,DELTA_SA,24,0.621782452530642,0.349892967798293,0.1675294050908708,1.0,1.0,0.6666666666666666,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
bridge,pseudo,pre_advance,DELTA_SA,24,0.6826656578960535,0.3982195970250985,0.0330875528634425,1.097917213838406,0.572971846851122,0.6666666666666666,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,24,0.3091344361007569,0.1937374999999998,-0.0706791666666665,0.4971745903130363,0.291628669237825,0.0,1.0,42.208333333333336,8.941676988175073e-05,9.128934316390936e-05,9.977105652579678e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,24,0.6337450302145816,0.4326100351047657,0.0259311447104826,1.0192391689975362,0.9415999217497506,0.4583333333333333,1.0,42.875,9.180496416938748e-05,9.27852739303216e-05,9.959864515987926e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
midas_umidas,pseudo,pre_advance,DELTA_SA,24,16.204325422531806,5.491316013576554,-0.3836315626944213,26.061085121621765,0.1659430645455697,0.5833333333333334,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,DELTA_SA,24,0.6546198940249426,0.3327871119831775,-0.0428099850632835,1.0528117854736054,0.9067779468441012,0.5833333333333334,1.0,33.583333333333336,9.53514690563172e-05,9.5881518023639e-05,9.994961427668048e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
no_revision,pseudo,pre_advance,DELTA_SA,24,0.3091344361007569,0.1937374999999998,-0.0706791666666665,0.4971745903130363,0.291628669237825,0.0,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
release_dfm,pseudo,pre_advance,DELTA_SA,24,0.5799306871189679,0.2513298830029198,-0.053786594345306,0.9326906617558308,0.896660553667392,0.625,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
revision_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,24,0.5531719745498065,0.2910351384939042,0.0087430698817095,0.889655171673642,0.7750342859081534,0.625,1.0,26.166666666666668,9.474380110492117e-05,9.499165755126336e-05,9.96935660818169e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
standard_dfm,pseudo,pre_advance,DELTA_SA,24,0.5799306871189679,0.2513298830029198,-0.053786594345306,0.9326906617558308,0.896660553667392,0.625,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
ar,pseudo,pre_second,DELTA_TS,24,0.2752219898278388,0.1926339914467443,-0.0243222508533552,1.0,1.0,0.5833333333333334,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
bridge,pseudo,pre_second,DELTA_TS,24,0.3997929535326084,0.3083183130537021,0.0793388406904171,1.4526199515623488,0.0010426403775061,0.5,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,24,0.2279327879734142,0.1606416666666668,-0.1075833333333334,0.8281779668695599,0.290957455231766,0.0,1.0,44.166666666666664,9.139226292283308e-05,9.184212873218993e-05,9.883543137058216e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,24,0.2308731901043168,0.1647822533542909,-0.1050912397196173,0.8388617139522038,0.3365329944533469,0.5,1.0,43.75,8.963686734509748e-05,9.315177074787788e-05,9.946346725004998e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
midas_umidas,pseudo,pre_second,DELTA_TS,24,5.2521060091811105,2.0201744593636497,-0.2166698555425645,19.083162695199213,0.1664757764337549,0.5416666666666666,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
monthly_mixed_frequency_kalman_em,pseudo,pre_second,DELTA_TS,24,0.3106673247167644,0.2128768673347986,-0.0726989733499142,1.1287881644598892,0.7126195010782261,0.5833333333333334,1.0,35.416666666666664,9.507071860059328e-05,9.47677659367516e-05,9.989107895116456e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
no_revision,pseudo,pre_second,DELTA_TS,24,0.2279327879734142,0.1606416666666668,-0.1075833333333334,0.8281779668695599,0.290957455231766,0.0,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
release_dfm,pseudo,pre_second,DELTA_TS,24,0.2259639963753566,0.16075438689449,-0.0713484014713701,0.8210244992295319,0.3024374106559389,0.625,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
revision_dfm_kalman_em,pseudo,pre_second,DELTA_TS,24,0.229602647962481,0.1626123815146302,-0.1055749616562611,0.8342452872537756,0.336784564127303,0.5,1.0,25.583333333333332,9.397638143183755e-05,9.35706403094508e-05,9.938627658559958e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
standard_dfm,pseudo,pre_second,DELTA_TS,24,0.2256231743347325,0.1626164736190204,-0.0523377375498154,0.8197861459975198,0.3369960814365437,0.625,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
ar,pseudo,pre_third,DELTA_MT,24,4.584056189542174,2.021314604871032,-0.0790252090259961,1.0,1.0,0.375,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
bridge,pseudo,pre_third,DELTA_MT,24,2.3449140989586805,1.6802580605263262,-0.673148291926757,0.5115369450113296,0.250648772383688,0.4166666666666667,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,24,1.102316552954126,0.7735958333333333,-0.5159374999999999,0.2404675046237202,0.1652951762247239,0.0,1.0,41.791666666666664,8.915742755310943e-05,9.190752220677238e-05,9.983330483740436e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,24,1.0999538235304671,0.7728639655287353,-0.5139213814897237,0.2399520813117091,0.1651797036317427,0.5416666666666666,1.0,43.208333333333336,9.05017759348872e-05,8.975272628334674e-05,9.900583189000944e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
midas_umidas,pseudo,pre_third,DELTA_MT,24,8.746326061272011,5.093650771374779,1.9150161712367433,1.907988405819593,0.2275579713887225,0.4166666666666667,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
monthly_mixed_frequency_kalman_em,pseudo,pre_third,DELTA_MT,24,1.115710293287281,0.78308028198924,-0.4878141308906829,0.2433893144313117,0.166948753481183,0.4583333333333333,1.0,36.166666666666664,9.39078389301324e-05,9.411801494758016e-05,9.9855881634068e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
no_revision,pseudo,pre_third,DELTA_MT,24,1.102316552954126,0.7735958333333333,-0.5159374999999999,0.2404675046237202,0.1652951762247239,0.0,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
release_dfm,pseudo,pre_third,DELTA_MT,24,1.1075106927520857,0.7642386113086976,-0.1828793580271101,0.2416005927847704,0.1546091363366305,0.6666666666666666,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
revision_dfm_kalman_em,pseudo,pre_third,DELTA_MT,24,1.1011460759630969,0.7730294453319276,-0.514110756856744,0.2402121680958435,0.1652618715519249,0.625,1.0,25.666666666666668,9.545571087091472e-05,9.684977363210394e-05,9.952672674741254e-05,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
standard_dfm,pseudo,pre_third,DELTA_MT,24,1.852956740874043,1.2209383680891452,-0.825964692254033,0.4042177199095599,0.1738513488102496,0.4166666666666667,1.0,0.0,,,,1,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/initialization_audit_journal_candidate/seed_1
