model_id,timing_mode,checkpoint_id,outcome_id,n_density_forecasts,mean_log_score,mean_crps,coverage_68,coverage_90,mean_predictive_sd
release_dfm,exact,pre_advance,DELTA_SA,67,-1.0404653360891818,0.34174339352357186,0.8507462686567164,0.9253731343283582,0.724981373034357
release_dfm,exact,pre_second,DELTA_TS,67,-0.6377138437505702,0.19788753792200825,0.746268656716418,0.8656716417910447,0.35317571178326634
release_dfm,exact,pre_third,DELTA_MT,68,-1.7952018597079116,0.7976682975068594,0.6764705882352942,0.8823529411764706,1.3402341662927935
release_dfm,pseudo,pre_advance,DELTA_SA,67,-1.0382242346416566,0.34129160423720106,0.8507462686567164,0.9253731343283582,0.7243429176376879
release_dfm,pseudo,pre_second,DELTA_TS,67,-0.6377465438925689,0.19792774898342982,0.746268656716418,0.8656716417910447,0.3532358585971855
release_dfm,pseudo,pre_third,DELTA_MT,68,-1.7956166496730535,0.7974810849466221,0.6764705882352942,0.8823529411764706,1.3381137036508388
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,-0.9559278080143526,0.33572391674632673,0.7974683544303798,0.8860759493670886,0.6435469401996193
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,79,-0.41646792984625763,0.18394815328637762,0.8481012658227848,0.9493670886075949,0.37633425474620447
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,80,-1.860096835143607,0.7989691116012427,0.875,0.975,2.0955468232911683
revision_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,79,-0.9551298779536666,0.3355103706181907,0.7974683544303798,0.8860759493670886,0.6435343427115989
revision_dfm_kalman_em,pseudo,pre_second,DELTA_TS,79,-0.41646877426200685,0.18394651474902907,0.8481012658227848,0.9493670886075949,0.37633596730795765
revision_dfm_kalman_em,pseudo,pre_third,DELTA_MT,80,-1.8600890913339736,0.7989651213845744,0.875,0.975,2.0955304000022665
standard_dfm,exact,pre_advance,DELTA_SA,67,-1.0404653360891818,0.34174339352357186,0.8507462686567164,0.9253731343283582,0.724981373034357
standard_dfm,exact,pre_second,DELTA_TS,67,-0.6433474192109224,0.19940500172925846,0.7611940298507462,0.8805970149253731,0.359949234159439
standard_dfm,exact,pre_third,DELTA_MT,68,-1.76829131004365,0.7917476158753063,0.7058823529411765,0.8970588235294118,1.4081934372934324
standard_dfm,pseudo,pre_advance,DELTA_SA,67,-1.0382242346416566,0.34129160423720106,0.8507462686567164,0.9253731343283582,0.7243429176376879
standard_dfm,pseudo,pre_second,DELTA_TS,67,-0.6433573710851153,0.1993803609530303,0.7611940298507462,0.8805970149253731,0.35989994524793795
standard_dfm,pseudo,pre_third,DELTA_MT,68,-1.7663568505709553,0.7902831624515331,0.7058823529411765,0.8970588235294118,1.403490538821902
