model_id,timing_mode,checkpoint_id,target_id,n_forecasts,n_variance,share_positive_variance,share_finite_sd,min_forecast_variance,median_forecast_variance,max_forecast_variance,mean_forecast_sd,empirical_error_sd,RMSE,mean_sd_to_rmse,mean_sd_to_empirical_error_sd,coverage_68,coverage_90,model_implied_share
ar,exact,pre_advance,A,2,0,0.0,0.0,,,,,0.40614791081667706,0.2893596215441562,,,,,0.0
ar,exact,pre_second,S,2,0,0.0,0.0,,,,,0.341739669776226,0.24169492889744512,,,,,0.0
ar,exact,pre_third,T,2,0,0.0,0.0,,,,,0.4450951443506667,0.3281843038069187,,,,,0.0
ar,pseudo,pre_advance,A,2,0,0.0,0.0,,,,,0.40614791081667706,0.2893596215441562,,,,,0.0
ar,pseudo,pre_second,S,2,0,0.0,0.0,,,,,0.341739669776226,0.24169492889744512,,,,,0.0
ar,pseudo,pre_third,T,2,0,0.0,0.0,,,,,0.4450951443506667,0.3281843038069187,,,,,0.0
bridge,exact,pre_advance,A,2,0,0.0,0.0,,,,,0.47413369207315226,0.3452798322110614,,,,,0.0
bridge,exact,pre_second,S,2,0,0.0,0.0,,,,,0.16236262321775338,0.2191323391511184,,,,,0.0
bridge,exact,pre_third,T,2,0,0.0,0.0,,,,,0.5307124570237928,0.4997323294539548,,,,,0.0
bridge,pseudo,pre_advance,A,2,0,0.0,0.0,,,,,0.5096424453428391,0.3616873219942751,,,,,0.0
bridge,pseudo,pre_second,S,2,0,0.0,0.0,,,,,0.2005228760731208,0.30161073305903224,,,,,0.0
bridge,pseudo,pre_third,T,2,0,0.0,0.0,,,,,0.48442680114613423,0.4935181032073083,,,,,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,2,2,1.0,1.0,12.983543647088494,13.010963672712876,13.03838369833726,3.607069340347727,0.5007306362766035,0.35415933768551405,10.184877134457281,7.203612239845421,1.0,1.0,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,2,2,1.0,1.0,11.161797627748124,11.186480753589036,11.211163879429948,3.3446176369888807,0.22986405395366552,0.16833337308499027,19.869010973244194,14.550416124058556,1.0,1.0,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,2,2,1.0,1.0,10.454977191025083,10.478005740474888,10.501034289924691,3.2369728277249203,0.27069592785010205,0.27813129857149,11.638290420209213,11.957966466039323,1.0,1.0,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,2,2,1.0,1.0,12.983540650261512,13.010964653449548,13.038388656637585,3.6070694757133195,0.49618813219566604,0.35085823187426785,10.280703566350795,7.269560156047653,1.0,1.0,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,2,2,1.0,1.0,11.161803268450532,11.186472493356163,11.211141718261796,3.344616404424608,0.23057119928412095,0.16880312581326418,19.813711317908517,14.505785695737352,1.0,1.0,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,2,2,1.0,1.0,10.454974423593091,10.478005025273976,10.50103562695486,3.236972716902691,0.26940365708035807,0.2775380016573102,11.663169359054262,12.015325819935558,1.0,1.0,1.0
