model_id,timing_mode,checkpoint_id,target_id,n_runs,run_labels,max_iters,rmse_min,rmse_max,rmse_range,last_run_rmse,last_run_convergence_rate,last_run_median_relative_llf_improvement
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,1,sensitivity_exclude_covid_max_iter100,100,2.34248208137426,2.34248208137426,0.0,2.34248208137426,1.0,9.288089958204036e-05
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,1,sensitivity_exclude_covid_max_iter100,100,0.5856228395309215,0.5856228395309215,0.0,0.5856228395309215,1.0,9.530757499999448e-05
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,1,sensitivity_exclude_covid_max_iter100,100,0.3705892083628563,0.3705892083628563,0.0,0.3705892083628563,1.0,9.42095107065753e-05
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,1,sensitivity_exclude_covid_max_iter100,100,2.3397095583270446,2.3397095583270446,0.0,2.3397095583270446,1.0,9.314804341273908e-05
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,1,sensitivity_exclude_covid_max_iter100,100,0.585615200295572,0.585615200295572,0.0,0.585615200295572,1.0,9.53924728726445e-05
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,1,sensitivity_exclude_covid_max_iter100,100,0.3705330269915229,0.3705330269915229,0.0,0.3705330269915229,1.0,9.42745521502832e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,1,sensitivity_exclude_covid_max_iter100,100,2.1747863557270963,2.1747863557270963,0.0,2.1747863557270963,1.0,9.34951598169984e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,1,sensitivity_exclude_covid_max_iter100,100,0.5997253430410951,0.5997253430410951,0.0,0.5997253430410951,1.0,9.353237719235452e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,1,sensitivity_exclude_covid_max_iter100,100,0.372740565512798,0.372740565512798,0.0,0.372740565512798,1.0,9.35223089917508e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,1,sensitivity_exclude_covid_max_iter100,100,2.169959246457424,2.169959246457424,0.0,2.169959246457424,1.0,9.349797839373122e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,1,sensitivity_exclude_covid_max_iter100,100,0.5983535864346856,0.5983535864346856,0.0,0.5983535864346856,1.0,9.360424446168236e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,T,1,sensitivity_exclude_covid_max_iter100,100,0.3727544022160166,0.3727544022160166,0.0,0.3727544022160166,1.0,9.420912353946584e-05
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,1,sensitivity_exclude_covid_max_iter100,100,2.1800764082366157,2.1800764082366157,0.0,2.1800764082366157,1.0,9.564925750676356e-05
monthly_mixed_frequency_kalman_em,exact,pre_second,S,1,sensitivity_exclude_covid_max_iter100,100,0.5566823248319457,0.5566823248319457,0.0,0.5566823248319457,1.0,9.556488853305474e-05
monthly_mixed_frequency_kalman_em,exact,pre_third,T,1,sensitivity_exclude_covid_max_iter100,100,0.3675378290466028,0.3675378290466028,0.0,0.3675378290466028,1.0,9.593078983716884e-05
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,1,sensitivity_exclude_covid_max_iter100,100,2.186324848429608,2.186324848429608,0.0,2.186324848429608,1.0,9.588151803920288e-05
monthly_mixed_frequency_kalman_em,pseudo,pre_second,S,1,sensitivity_exclude_covid_max_iter100,100,0.5550522845352548,0.5550522845352548,0.0,0.5550522845352548,1.0,9.545835475240666e-05
monthly_mixed_frequency_kalman_em,pseudo,pre_third,T,1,sensitivity_exclude_covid_max_iter100,100,0.3670349228274115,0.3670349228274115,0.0,0.3670349228274115,1.0,9.566622545471822e-05
revision_dfm_kalman_em,exact,pre_advance,A,1,sensitivity_exclude_covid_max_iter100,100,1.916491913737565,1.916491913737565,0.0,1.916491913737565,1.0,9.300967313762624e-05
revision_dfm_kalman_em,exact,pre_second,S,1,sensitivity_exclude_covid_max_iter100,100,0.5919229041701802,0.5919229041701802,0.0,0.5919229041701802,1.0,9.366961233923149e-05
revision_dfm_kalman_em,exact,pre_third,T,1,sensitivity_exclude_covid_max_iter100,100,0.3727329902954265,0.3727329902954265,0.0,0.3727329902954265,1.0,9.33428577426242e-05
revision_dfm_kalman_em,pseudo,pre_advance,A,1,sensitivity_exclude_covid_max_iter100,100,1.915169007274087,1.915169007274087,0.0,1.915169007274087,1.0,9.301033021482924e-05
revision_dfm_kalman_em,pseudo,pre_second,S,1,sensitivity_exclude_covid_max_iter100,100,0.5914359973562274,0.5914359973562274,0.0,0.5914359973562274,1.0,9.36398934987327e-05
revision_dfm_kalman_em,pseudo,pre_third,T,1,sensitivity_exclude_covid_max_iter100,100,0.372650005169386,0.372650005169386,0.0,0.372650005169386,1.0,9.33430223660174e-05
