model_id,checkpoint_id,revision_target_id,exact,pseudo,exact_minus_pseudo_RMSE
ar,pre_advance,DELTA_SA,0.2763108641643567,0.2763108641643567,0.0
ar,pre_second,DELTA_TS,0.42872944892155945,0.42872944892155945,0.0
ar,pre_third,DELTA_MT,23.126767719300748,23.126767719300748,0.0
bridge,pre_advance,DELTA_SA,0.2511904928155969,0.2597026098584111,-0.008512117042814182
bridge,pre_second,DELTA_TS,0.28248451159643784,0.2846247421137736,-0.0021402305173357505
bridge,pre_third,DELTA_MT,1.3287434726419107,1.324650235876123,0.004093236765787767
indicator_revision_only_dfm_kalman_em,pre_advance,DELTA_SA,0.18521783796384184,0.18521783796384184,0.0
indicator_revision_only_dfm_kalman_em,pre_second,DELTA_TS,0.15440160297095357,0.15440160297095357,0.0
indicator_revision_only_dfm_kalman_em,pre_third,DELTA_MT,0.5274127178974736,0.5274127178974736,0.0
joint_indicator_revision_dfm_full_kalman_em,pre_advance,DELTA_SA,0.34654594121585724,0.34397416596254693,0.0025717752533103155
joint_indicator_revision_dfm_full_kalman_em,pre_second,DELTA_TS,0.1533066970152106,0.1533059345010182,7.625141923983669e-07
joint_indicator_revision_dfm_full_kalman_em,pre_third,DELTA_MT,0.5749887914436079,0.5748705604445629,0.00011823099904506584
midas_umidas,pre_advance,DELTA_SA,0.8867275868534378,0.8438572172710181,0.04287036958241963
midas_umidas,pre_second,DELTA_TS,0.5553022019085411,0.5563990505792592,-0.0010968486707181313
midas_umidas,pre_third,DELTA_MT,1.845948771247558,1.803477501657227,0.04247126959033087
monthly_mixed_frequency_kalman_em,pre_advance,DELTA_SA,0.23514679282776912,0.23516744342343845,-2.0650595669330363e-05
monthly_mixed_frequency_kalman_em,pre_second,DELTA_TS,0.17547801945368974,0.1757396008083784,-0.0002615813546886503
monthly_mixed_frequency_kalman_em,pre_third,DELTA_MT,0.5711914811593725,0.5706360297519565,0.0005554514074159744
no_revision,pre_advance,DELTA_SA,0.18521783796384184,0.18521783796384184,0.0
no_revision,pre_second,DELTA_TS,0.15440160297095357,0.15440160297095357,0.0
no_revision,pre_third,DELTA_MT,0.5274127178974736,0.5274127178974736,0.0
release_dfm,pre_advance,DELTA_SA,0.2355808770862576,0.2350994355582299,0.000481441528027704
release_dfm,pre_second,DELTA_TS,0.09234050546476177,0.09246259907788835,-0.00012209361312658096
release_dfm,pre_third,DELTA_MT,0.996337942245552,0.9940019918682901,0.002335950377261975
revision_dfm_kalman_em,pre_advance,DELTA_SA,0.34826280414409166,0.34419027254111256,0.0040725316029791014
revision_dfm_kalman_em,pre_second,DELTA_TS,0.15350772219430298,0.15350787957568493,-1.5738138195442453e-07
revision_dfm_kalman_em,pre_third,DELTA_MT,0.5727434088167739,0.572588189072171,0.00015521974460286359
spf,pre_advance,DELTA_SA,0.18521783796384184,0.18521783796384184,0.0
spf,pre_second,DELTA_TS,0.15440160297095357,0.15440160297095357,0.0
spf,pre_third,DELTA_MT,0.5274127178974736,0.5274127178974736,0.0
standard_dfm,pre_advance,DELTA_SA,0.2355808770862576,0.2350994355582299,0.000481441528027704
standard_dfm,pre_second,DELTA_TS,0.07386385721442702,0.07392415084560715,-6.0293631180124985e-05
standard_dfm,pre_third,DELTA_MT,0.7277688506660407,0.7229214113386054,0.0048474393274352545
