relative_path,size_bytes
FREEZE_FAILURE_AUDIT.csv,480
MANIFEST.json,3980
README.md,356
convergence_stability/convergence_point_runs.csv,52568
convergence_stability/convergence_point_stability.csv,5515
convergence_stability/convergence_revision_runs.csv,53895
convergence_stability/convergence_revision_stability.csv,5639
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/bootstrap_loss_difference_point.csv,88486
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/bootstrap_loss_difference_revision.csv,91062
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/calendar_audit.csv,313
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/common_sample_spf_point.csv,7936
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/common_sample_spf_revision.csv,8434
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/cumulative_loss_point.csv,3149659
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/cumulative_loss_revision.csv,3337004
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/density_point_metrics.csv,12625
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/density_point_records.csv,1992860
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/density_revision_metrics.csv,13001
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/density_revision_records.csv,2041053
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/external_benchmark_coverage.csv,10951
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/figures/point_cumulative_loss_exact_pre_second_S_release_vs_standard.png,75570
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/figures/point_cumulative_loss_exact_pre_third_T_joint_vs_release.png,79142
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/figures/revision_cumulative_loss_exact_delta_sa_joint_vs_release.png,101974
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/forecast_comparison_point_clark_west.csv,6611
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/forecast_comparison_point_dm.csv,81919
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/forecast_comparison_revision_clark_west.csv,6825
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/forecast_comparison_revision_dm.csv,83824
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/journal_evidence_summary.md,9149
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/manifest.json,10156
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/model_confidence_set_block_bootstrap_point.csv,13812
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/model_confidence_set_block_bootstrap_revision.csv,14495
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/model_confidence_set_proxy_point.csv,11683
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/model_confidence_set_proxy_revision.csv,13653
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/release_mechanism_analysis.csv,20167
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/revision_magnitude_bins.csv,31208
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/revision_threshold_diagnostics.csv,24764
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/series_coverage_audit.csv,2593
sensitivity_runs/sensitivity_k2_max_iter100/evidence_dir/target_coverage_audit.csv,1501
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/convergence_diagnostics.csv,19226
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/data_coverage_summary.csv,1031
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/figures/exact_minus_pseudo_point_gaps.png,98033
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/figures/point_rmse_by_model_exact.png,113039
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/figures/point_rmse_by_model_pseudo.png,116809
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/figures/revision_rmse_by_model_exact.png,102618
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/headline_exact_vs_pseudo.csv,2839
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/headline_point_results.csv,1013
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/headline_revision_exact_vs_pseudo.csv,3058
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/headline_revision_results.csv,1316
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/journal_results_draft.md,19040
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/latex_tables.tex,7260
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/manifest.json,6282
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/point_metrics_full.csv,12545
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/revision_metrics_full.csv,13214
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/subsample_robustness_point.csv,78263
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/subsample_robustness_point_winners.csv,5518
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/subsample_robustness_revision.csv,81650
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/subsample_robustness_revision_winners.csv,6650
sensitivity_runs/sensitivity_k2_max_iter100/report_dir/winner_stability.csv,2476
sensitivity_runs/sensitivity_k2_max_iter100/run_dir/exact_pseudo_point_gaps.csv,2893
sensitivity_runs/sensitivity_k2_max_iter100/run_dir/exact_pseudo_revision_gaps.csv,3105
sensitivity_runs/sensitivity_k2_max_iter100/run_dir/failures.csv,1
sensitivity_runs/sensitivity_k2_max_iter100/run_dir/forecast_results.csv,1311332
sensitivity_runs/sensitivity_k2_max_iter100/run_dir/gdp_release_calendar_used.csv,304585
sensitivity_runs/sensitivity_k2_max_iter100/run_dir/metrics_summary.csv,12755
sensitivity_runs/sensitivity_k2_max_iter100/run_dir/revision_forecast_results.csv,1433942
sensitivity_runs/sensitivity_k2_max_iter100/run_dir/revision_metrics_summary.csv,13452
sensitivity_runs/sensitivity_k2_max_iter100/run_dir/run_summary.md,51421
sensitivity_runs/sensitivity_k2_max_iter100/run_dir/state_space_covariance_records.csv,5514808
sensitivity_runs/sensitivity_k2_max_iter100/variance_dir/covariance_matrix_audit.csv,3236
sensitivity_runs/sensitivity_k2_max_iter100/variance_dir/manifest.json,1908
sensitivity_runs/sensitivity_k2_max_iter100/variance_dir/variance_audit_summary.md,17592
sensitivity_runs/sensitivity_k2_max_iter100/variance_dir/variance_point_audit.csv,9995
sensitivity_runs/sensitivity_k2_max_iter100/variance_dir/variance_revision_audit.csv,10662
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/bootstrap_loss_difference_point.csv,88535
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/bootstrap_loss_difference_revision.csv,91018
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/calendar_audit.csv,313
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/common_sample_spf_point.csv,7951
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/common_sample_spf_revision.csv,8425
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/cumulative_loss_point.csv,3149405
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/cumulative_loss_revision.csv,3334312
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/density_point_metrics.csv,12633
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/density_point_records.csv,1992670
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/density_revision_metrics.csv,13045
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/density_revision_records.csv,2040495
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/external_benchmark_coverage.csv,10951
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/figures/point_cumulative_loss_exact_pre_second_S_release_vs_standard.png,74544
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/figures/point_cumulative_loss_exact_pre_third_T_joint_vs_release.png,79376
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/figures/revision_cumulative_loss_exact_delta_sa_joint_vs_release.png,96574
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/forecast_comparison_point_clark_west.csv,6589
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/forecast_comparison_point_dm.csv,81955
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/forecast_comparison_revision_clark_west.csv,6828
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/forecast_comparison_revision_dm.csv,83825
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/journal_evidence_summary.md,9167
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/manifest.json,10156
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/model_confidence_set_block_bootstrap_point.csv,13776
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/model_confidence_set_block_bootstrap_revision.csv,14323
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/model_confidence_set_proxy_point.csv,11673
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/model_confidence_set_proxy_revision.csv,13975
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/release_mechanism_analysis.csv,20201
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/revision_magnitude_bins.csv,31172
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/revision_threshold_diagnostics.csv,24711
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/series_coverage_audit.csv,2593
sensitivity_runs/sensitivity_k3_max_iter100/evidence_dir/target_coverage_audit.csv,1501
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/convergence_diagnostics.csv,19277
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/data_coverage_summary.csv,1031
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/figures/exact_minus_pseudo_point_gaps.png,97600
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/figures/point_rmse_by_model_exact.png,119021
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/figures/point_rmse_by_model_pseudo.png,114784
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/figures/revision_rmse_by_model_exact.png,114065
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/headline_exact_vs_pseudo.csv,2827
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/headline_point_results.csv,1013
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/headline_revision_exact_vs_pseudo.csv,3062
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/headline_revision_results.csv,1312
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/journal_results_draft.md,18968
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/latex_tables.tex,7212
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/manifest.json,6282
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/point_metrics_full.csv,12576
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/revision_metrics_full.csv,13243
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/subsample_robustness_point.csv,78501
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/subsample_robustness_point_winners.csv,5595
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/subsample_robustness_revision.csv,81737
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/subsample_robustness_revision_winners.csv,6651
sensitivity_runs/sensitivity_k3_max_iter100/report_dir/winner_stability.csv,2509
sensitivity_runs/sensitivity_k3_max_iter100/run_dir/exact_pseudo_point_gaps.csv,2896
sensitivity_runs/sensitivity_k3_max_iter100/run_dir/exact_pseudo_revision_gaps.csv,3110
sensitivity_runs/sensitivity_k3_max_iter100/run_dir/failures.csv,1
sensitivity_runs/sensitivity_k3_max_iter100/run_dir/forecast_results.csv,1311577
sensitivity_runs/sensitivity_k3_max_iter100/run_dir/gdp_release_calendar_used.csv,304585
sensitivity_runs/sensitivity_k3_max_iter100/run_dir/metrics_summary.csv,12830
sensitivity_runs/sensitivity_k3_max_iter100/run_dir/revision_forecast_results.csv,1434087
sensitivity_runs/sensitivity_k3_max_iter100/run_dir/revision_metrics_summary.csv,13518
sensitivity_runs/sensitivity_k3_max_iter100/run_dir/run_summary.md,51421
sensitivity_runs/sensitivity_k3_max_iter100/run_dir/state_space_covariance_records.csv,5515305
sensitivity_runs/sensitivity_k3_max_iter100/variance_dir/covariance_matrix_audit.csv,3237
sensitivity_runs/sensitivity_k3_max_iter100/variance_dir/manifest.json,1908
sensitivity_runs/sensitivity_k3_max_iter100/variance_dir/variance_audit_summary.md,17592
sensitivity_runs/sensitivity_k3_max_iter100/variance_dir/variance_point_audit.csv,9973
sensitivity_runs/sensitivity_k3_max_iter100/variance_dir/variance_revision_audit.csv,10663
