model_id,timing_mode,checkpoint_id,outcome_id,n_density_forecasts,mean_log_score,mean_crps,coverage_68,coverage_90,mean_predictive_sd
release_dfm,pseudo,pre_third,T,68,-0.931875178366123,0.2434074496998972,0.7647058823529411,0.8823529411764706,0.42651633765753955
revision_dfm_kalman_em,exact,pre_advance,A,80,-3.634454602823665,1.4350301102273781,0.7,0.875,1.8619511066742498
revision_dfm_kalman_em,exact,pre_second,S,79,-1.07168678081626,0.3578873542030213,0.759493670886076,0.8987341772151899,0.6329261158511933
revision_dfm_kalman_em,exact,pre_third,T,80,-0.44773018016036287,0.18847714575508412,0.825,0.9375,0.378012129961277
revision_dfm_kalman_em,pseudo,pre_advance,A,80,-3.6322183532120826,1.4340436201514843,0.6875,0.875,1.8619401349592217
revision_dfm_kalman_em,pseudo,pre_second,S,79,-1.071136613037134,0.35759210119401985,0.759493670886076,0.8987341772151899,0.6329360834842328
revision_dfm_kalman_em,pseudo,pre_third,T,80,-0.44752604293663384,0.18842304606388685,0.825,0.9375,0.3780112621427681
standard_dfm,exact,pre_advance,A,68,-3.472808257458884,1.3710081283914826,0.6764705882352942,0.8529411764705882,1.7357443182019328
standard_dfm,exact,pre_second,S,67,-3.027112405712109,1.40696870842136,0.6865671641791045,0.8656716417910447,1.8360453880927317
standard_dfm,exact,pre_third,T,68,-2.9561772324687214,1.4036835552493638,0.7647058823529411,0.8970588235294118,1.8657349468827857
standard_dfm,pseudo,pre_advance,A,68,-3.4788598051885513,1.365943260774883,0.6911764705882353,0.8529411764705882,1.734744252396079
standard_dfm,pseudo,pre_second,S,67,-3.0257809271677316,1.4021971211968278,0.6865671641791045,0.8656716417910447,1.830845744024707
standard_dfm,pseudo,pre_third,T,68,-2.9558078373499503,1.4026761163576313,0.7647058823529411,0.8970588235294118,1.8664179078322225
