model_id,timing_mode,checkpoint_id,outcome_id,n_density_forecasts,mean_log_score,mean_crps,coverage_68,coverage_90,mean_predictive_sd,pit_mean,pit_std,brier_below_zero
ar,exact,pre_advance,DELTA_SA,67,-1.0821039796494922,0.364017857985642,0.8507462686567164,0.9402985074626866,0.7648956778591413,0.4662818071685843,0.23207481933391538,0.2745962749782186
ar,exact,pre_second,DELTA_TS,67,-0.7816245991141392,0.22116498464856163,0.7611940298507462,0.8656716417910447,0.38633474140248364,0.5010548440250238,0.26118255878362745,0.25168574744655275
ar,exact,pre_third,DELTA_MT,61,-3.0772030064318274,1.6771749789422925,0.7540983606557377,0.8852459016393442,2.566066452104668,0.45131344467328904,0.2713861608433373,0.34976730985014104
ar,pseudo,pre_advance,DELTA_SA,67,-1.0821039796494922,0.364017857985642,0.8507462686567164,0.9402985074626866,0.7648956778591413,0.4662818071685843,0.23207481933391538,0.2745962749782186
ar,pseudo,pre_second,DELTA_TS,67,-0.7816245991141392,0.22116498464856163,0.7611940298507462,0.8656716417910447,0.38633474140248364,0.5010548440250238,0.26118255878362745,0.25168574744655275
ar,pseudo,pre_third,DELTA_MT,61,-3.0772030064318274,1.6771749789422925,0.7540983606557377,0.8852459016393442,2.566066452104668,0.45131344467328904,0.2713861608433373,0.34976730985014104
bridge,exact,pre_advance,DELTA_SA,67,-1.152814460082281,0.3912687746734345,0.8507462686567164,0.8955223880597015,0.8063619911919397,0.48560046805892804,0.23351645129551024,0.2851070575060028
bridge,exact,pre_second,DELTA_TS,67,-0.775500046159135,0.2735474925531921,0.746268656716418,0.9402985074626866,0.5267716726770005,0.49168701352594574,0.2658841566801419,0.2742888721797511
bridge,exact,pre_third,DELTA_MT,61,-2.289850339765158,1.2061829068301138,0.6229508196721312,0.8852459016393442,1.8555635049326578,0.5507163223975278,0.29746203756021494,0.28772479978336923
bridge,pseudo,pre_advance,DELTA_SA,67,-1.1614828043504952,0.39313687212249143,0.8656716417910447,0.8955223880597015,0.8137741417439789,0.4844220357373071,0.23242051068036407,0.2841716237715172
bridge,pseudo,pre_second,DELTA_TS,67,-0.7776326232760936,0.2740418031577703,0.746268656716418,0.9402985074626866,0.5262580012471592,0.4918285510119739,0.2663360645774381,0.2742238239959801
bridge,pseudo,pre_third,DELTA_MT,61,-2.2894422282636557,1.2046011309306135,0.6229508196721312,0.8852459016393442,1.8542375827954996,0.5502622776175407,0.2971756943191493,0.28737182120114635
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,-0.8771217954125035,0.30837360703656,0.8354430379746836,0.9367088607594937,0.667095473642203,0.5428484806832,0.2340625401405286,0.25
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,79,-0.41603616032344914,0.1840887391963962,0.8481012658227848,0.9493670886075949,0.3797632827255676,0.5591954403029537,0.23467683659665686,0.25
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,73,-1.7768523778539158,0.7901193769126633,0.7808219178082192,0.8904109589041096,1.5240624146958905,0.4266713956073008,0.2572662564312125,0.25
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,79,-0.8770108696241417,0.3083573848110179,0.8354430379746836,0.9367088607594937,0.6670117879740352,0.5428379594897722,0.2340703464762543,0.25
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,79,-0.4160304232382741,0.18408784334454714,0.8481012658227848,0.9493670886075949,0.37977112387768047,0.5591998548502316,0.2346691178301191,0.25
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,73,-1.7768587798586224,0.7901217647395273,0.7808219178082192,0.8904109589041096,1.5240425969284377,0.42667244814696437,0.2572693638649284,0.25
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,79,-0.955551090169218,0.34148330972680263,0.7468354430379747,0.9113924050632911,0.6326522907974301,0.46551055539681996,0.2657336742098095,0.2570253425096196
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,79,-0.4175832998997795,0.18412120362255088,0.8481012658227848,0.9493670886075949,0.3735105248588501,0.5573004818501377,0.23817036876817338,0.2505698785834956
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,73,-1.7786688385565985,0.7920136237670619,0.7808219178082192,0.8904109589041096,1.519471499970765,0.4261777420170925,0.25817352136923943,0.2508398448861379
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,79,-0.9577643392846054,0.34234475636225864,0.7468354430379747,0.9113924050632911,0.6326934850983991,0.4650486984133919,0.26620810345444607,0.2578599897133787
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,79,-0.41733531487689174,0.18407725260323643,0.8481012658227848,0.9493670886075949,0.3735153148342954,0.5572957882464716,0.23814963526398433,0.2505231621530419
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,73,-1.7786789604573248,0.7920199859214677,0.7808219178082192,0.8904109589041096,1.5194611046178026,0.42617882083772907,0.25817699170652947,0.25084122674215015
midas_umidas,exact,pre_advance,DELTA_SA,67,-4.064164765840514,6.651982867585456,0.8955223880597015,0.9552238805970149,15.21794736410381,0.45201675279346143,0.18639211524358545,0.29059602785507604
midas_umidas,exact,pre_second,DELTA_TS,67,-4.033143398060923,1.263190301722378,0.8059701492537313,0.8955223880597015,1.9330890761311057,0.4879706472500823,0.23625629213179813,0.26438626237290275
midas_umidas,exact,pre_third,DELTA_MT,61,-5.387812189673123,7.2598148946916625,0.639344262295082,0.7213114754098361,8.71601918387722,0.3900168603826076,0.2805818104783871,0.4089575429729303
midas_umidas,pseudo,pre_advance,DELTA_SA,67,-4.03614891885651,6.376656662917687,0.8656716417910447,0.9552238805970149,14.514302670148913,0.4483806791740335,0.18743544684461177,0.2861551487165553
midas_umidas,pseudo,pre_second,DELTA_TS,67,-4.037161164564724,1.2614013977460705,0.8208955223880597,0.8955223880597015,1.9345331851794665,0.4910074644487104,0.23482078932341885,0.2631425105532626
midas_umidas,pseudo,pre_third,DELTA_MT,61,-5.3582858138387515,7.303287068955031,0.6557377049180327,0.7213114754098361,8.767013739683904,0.38878344696933476,0.28157511772606836,0.415729125183402
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,79,-0.8556557175472135,0.3061924987641739,0.7974683544303798,0.9113924050632911,0.6056343117507248,0.48826522168002967,0.2550821980857518,0.2308498222913153
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,79,-0.47135185304128585,0.19646225874137402,0.8354430379746836,0.9367088607594937,0.3844264805086594,0.5097504338099423,0.25087097489200666,0.26672844512068306
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,73,-1.8097986984050356,0.8217322786848418,0.7397260273972602,0.8767123287671232,1.5021273502951462,0.4178910082510886,0.26586211973743257,0.2637955842535166
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,DELTA_SA,79,-0.8551362698902879,0.30596439157006106,0.7974683544303798,0.9113924050632911,0.6056081419962532,0.48810087891500703,0.2548520255735095,0.23064416840219634
monthly_mixed_frequency_kalman_em,pseudo,pre_second,DELTA_TS,79,-0.4691620219403273,0.19588271174489488,0.8354430379746836,0.9367088607594937,0.3844282645563973,0.5102331256083814,0.2500144661483407,0.26560566466990576
monthly_mixed_frequency_kalman_em,pseudo,pre_third,DELTA_MT,73,-1.8098709716584485,0.8217290390488529,0.7397260273972602,0.8767123287671232,1.5021609867891823,0.4179912906167481,0.2658324662306602,0.2637380130112881
no_revision,exact,pre_advance,DELTA_SA,67,-0.8833654489401548,0.30017969128674454,0.8656716417910447,0.9402985074626866,0.6909088366845302,0.5287086682538995,0.21701794463594232,0.25
no_revision,exact,pre_second,DELTA_TS,67,-0.6440372926656159,0.1968871989272367,0.7611940298507462,0.8656716417910447,0.34370429504138694,0.5712641592238926,0.2650368385420726,0.25
no_revision,exact,pre_third,DELTA_MT,61,-1.8187994076916743,0.8078676242822135,0.7377049180327869,0.8688524590163934,1.3759886679596682,0.42667348058055554,0.27760333864663816,0.25
no_revision,pseudo,pre_advance,DELTA_SA,67,-0.8833654489401548,0.30017969128674454,0.8656716417910447,0.9402985074626866,0.6909088366845302,0.5287086682538995,0.21701794463594232,0.25
no_revision,pseudo,pre_second,DELTA_TS,67,-0.6440372926656159,0.1968871989272367,0.7611940298507462,0.8656716417910447,0.34370429504138694,0.5712641592238926,0.2650368385420726,0.25
no_revision,pseudo,pre_third,DELTA_MT,61,-1.8187994076916743,0.8078676242822135,0.7377049180327869,0.8688524590163934,1.3759886679596682,0.42667348058055554,0.27760333864663816,0.25
release_dfm,exact,pre_advance,DELTA_SA,67,-1.0404653360891818,0.34174339352357186,0.8507462686567164,0.9253731343283582,0.724981373034357,0.48711528771375867,0.22453860303813977,0.2663422725354556
release_dfm,exact,pre_second,DELTA_TS,67,-0.6377138437505702,0.19788753792200825,0.746268656716418,0.8656716417910447,0.35317571178326634,0.548723469132816,0.26541047250487193,0.2515663166277658
release_dfm,exact,pre_third,DELTA_MT,61,-1.8776722709249287,0.8648947249571333,0.7377049180327869,0.8524590163934426,1.4373639205898325,0.36083865839775425,0.25484151610857386,0.2603539755088973
release_dfm,pseudo,pre_advance,DELTA_SA,67,-1.0382242346416566,0.34129160423720106,0.8507462686567164,0.9253731343283582,0.7243429176376879,0.4867914067197313,0.22454774657075202,0.2661128926090903
release_dfm,pseudo,pre_second,DELTA_TS,67,-0.6377465438925689,0.19792774898342982,0.746268656716418,0.8656716417910447,0.3532358585971855,0.5487237494975402,0.26543789674357215,0.2516604778235934
release_dfm,pseudo,pre_third,DELTA_MT,61,-1.878320957051884,0.8649306084298952,0.7377049180327869,0.8524590163934426,1.4363321329254255,0.36077219825972484,0.25485528386098705,0.26046452899256217
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,-0.9693102614539274,0.34054298998011834,0.7974683544303798,0.8987341772151899,0.6519966411555306,0.46377600230599536,0.25295020169310256,0.25504548819739015
