model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,n_variance,share_positive_variance,share_finite_sd,min_forecast_variance,median_forecast_variance,max_forecast_variance,mean_forecast_sd,empirical_error_sd,RMSE,mean_sd_to_rmse,mean_sd_to_empirical_error_sd,coverage_68,coverage_90,model_implied_share
ar,exact,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.6773397609913052,0.6781421206748106,,,,,0.0
ar,exact,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.41019163488335636,0.40791620019200964,,,,,0.0
ar,exact,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,3.03075072517081,3.029600437848392,,,,,0.0
ar,pseudo,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.6773397609913052,0.6781421206748106,,,,,0.0
ar,pseudo,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.41019163488335636,0.40791620019200964,,,,,0.0
ar,pseudo,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,3.03075072517081,3.029600437848392,,,,,0.0
bridge,exact,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.7228852480433813,0.7182954588874341,,,,,0.0
bridge,exact,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.49444086926614944,0.4916791866250378,,,,,0.0
bridge,exact,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,1.9785589102983503,1.9681597928674712,,,,,0.0
bridge,pseudo,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.7267392633602558,0.7221269467369031,,,,,0.0
bridge,pseudo,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.49511434520623265,0.49234421429461095,,,,,0.0
bridge,pseudo,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,1.9758259955495,1.9653080627902275,,,,,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,79,1.0,1.0,0.4017502483733723,0.4422857756090472,0.4771453360454378,0.6640241141740814,0.5694656229901923,0.5696627235545563,1.1656443132363183,1.1660477601569246,0.8354430379746836,0.9367088607594937,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,79,79,1.0,1.0,0.1331410849229319,0.1438217908925134,0.1605669213907115,0.38072709436339747,0.3595420355888921,0.3613823734957444,1.0535297853089143,1.0589223419726332,0.8481012658227848,0.9493670886075949,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,80,80,1.0,1.0,4.140215049205476,4.544346360018737,5.1675928054336,2.13265676004854,1.3467940527344975,1.338732745080212,1.5930414549774525,1.58350622035971,0.8875,0.975,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,79,79,1.0,1.0,0.4017505723890906,0.4422857756090472,0.477146910131804,0.6639911849992456,0.5694656229901923,0.5696627235545563,1.1655865085503625,1.165989935463903,0.8354430379746836,0.9367088607594937,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,79,79,1.0,1.0,0.1331411197076,0.1438217908925134,0.1605668431605791,0.38072512359172755,0.3595420355888921,0.3613823734957444,1.053524331883915,1.0589168606339445,0.8481012658227848,0.9493670886075949,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,80,80,1.0,1.0,4.140215009253541,4.54434640635884,5.1675928054336,2.1326638086345104,1.3467940527344975,1.338732745080212,1.5930467200955252,1.5835114539631374,0.8875,0.975,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,79,79,1.0,1.0,0.3279337551036407,0.3906828040042871,0.4145678057161328,0.6205780858164442,0.6356127737197675,0.6360088775904658,0.9757380874422988,0.9763461520520796,0.7088607594936709,0.8860759493670886,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,79,79,1.0,1.0,0.1287573780177604,0.1405949007704006,0.1549103121535917,0.37501455519651533,0.36062807770166916,0.3619127523783736,1.0362015506003612,1.0398928380356103,0.8481012658227848,0.9493670886075949,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,80,80,1.0,1.0,4.141397134529203,4.554636115223081,5.159375741713454,2.1338909973163647,1.3484592700023967,1.340352004121786,1.5920377563164942,1.5824660371926338,0.8875,0.9875,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,79,79,1.0,1.0,0.3279337551036407,0.3906677553794271,0.4145613542089759,0.6204379678159959,0.6364353760738901,0.6370213186872618,0.9739673533918144,0.9748640492667445,0.7088607594936709,0.8860759493670886,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,79,79,1.0,1.0,0.1287571413273216,0.1405949007704006,0.1549103380174029,0.3750381056825995,0.36064493338307546,0.3619284834392283,1.0362215820064697,1.0399095369634257,0.8481012658227848,0.9493670886075949,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,80,80,1.0,1.0,4.141398013519389,4.554635562473656,5.159375741713454,2.133898810691843,1.3484590927551976,1.3403517598318222,1.5920438758252455,1.5824720394979277,0.8875,0.9875,1.0
midas_umidas,exact,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,13.920103314067077,13.866667467382854,,,,,0.0
midas_umidas,exact,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,3.1440750859182716,3.1241130194946445,,,,,0.0
