model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement
ar,exact,pre_advance,DELTA_SA,1,0.005333795208940284,0.005333795208940284,-0.005333795208940284,1.0,1.0,1.0,1.0,0.0,,,
bridge,exact,pre_advance,DELTA_SA,1,0.013118587007399096,0.013118587007399096,-0.013118587007399096,2.459522065153583,,1.0,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,1,0.0939000000000001,0.0939000000000001,-0.0939000000000001,17.60472540126941,,0.0,0.0,2.0,0.08652680969853122,0.08652680969853122,0.08652680969853122
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,1,0.059104146850426975,0.059104146850426975,0.059104146850426975,11.081067895400086,,1.0,0.0,2.0,0.08035551283525699,0.08035551283525699,0.08035551283525699
midas_umidas,exact,pre_advance,DELTA_SA,1,0.34025437686387017,0.34025437686387017,-0.34025437686387017,63.79217115301878,,0.0,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,1,0.005484121420868515,0.005484121420868515,-0.005484121420868515,1.0281837239788023,,1.0,0.0,2.0,0.06535978188568325,0.06535978188568325,0.06535978188568325
no_revision,exact,pre_advance,DELTA_SA,1,0.0939000000000001,0.0939000000000001,-0.0939000000000001,17.60472540126941,,0.0,1.0,0.0,,,
release_dfm,exact,pre_advance,DELTA_SA,1,0.0016847606482608413,0.0016847606482608413,-0.0016847606482608413,0.315865267087292,,1.0,1.0,0.0,,,
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,1,0.08614302539635155,0.08614302539635155,0.08614302539635155,16.15041860849142,,1.0,0.0,2.0,0.12267450060626468,0.12267450060626468,0.12267450060626468
standard_dfm,exact,pre_advance,DELTA_SA,1,0.0016847606482608413,0.0016847606482608413,-0.0016847606482608413,0.315865267087292,,1.0,1.0,0.0,,,
ar,exact,pre_second,DELTA_TS,1,0.024763772310132826,0.024763772310132826,-0.024763772310132826,1.0,1.0,1.0,1.0,0.0,,,
bridge,exact,pre_second,DELTA_TS,1,0.027694162530152333,0.027694162530152333,0.027694162530152333,1.118333757204691,,1.0,1.0,0.0,,,
