source_family,source_dataset,source_file,source_sheet,target_variable_id,target_description,source_measure,source_measure_label,source_last_updated,target_quarter,target_year,target_quarter_number,release_stage,release_stage_order,release_date,release_date_status,value,notes
RTDSM,ROUTPUTQvQd_latest,data/bronze/targets/gdp_complete_vintages_long.csv,ROUTPUT,ROUTPUT,Real GNP/GDP mature target robustness (latest),qoq_annualized_percent_from_complete_vintage_levels,"Q/Q Growth (Annual Rate, Percentage Points)",,1947:Q2,1947,2,mature,4,,quarter_vintage_period_only,-1.0643184552563412,"Mature robustness target selected using rule=latest; selected vintage_period=2026:Q1. Complete-vintage workbook exposes quarter-coded vintage periods, not exact daily release dates."
RTDSM,ROUTPUTQvQd_latest,data/bronze/targets/gdp_complete_vintages_long.csv,ROUTPUT,ROUTPUT,Real GNP/GDP mature target robustness (latest),qoq_annualized_percent_from_complete_vintage_levels,"Q/Q Growth (Annual Rate, Percentage Points)",,1947:Q3,1947,3,mature,4,,quarter_vintage_period_only,-0.8277196984803226,"Mature robustness target selected using rule=latest; selected vintage_period=2026:Q1. Complete-vintage workbook exposes quarter-coded vintage periods, not exact daily release dates."
RTDSM,ROUTPUTQvQd_latest,data/bronze/targets/gdp_complete_vintages_long.csv,ROUTPUT,ROUTPUT,Real GNP/GDP mature target robustness (latest),qoq_annualized_percent_from_complete_vintage_levels,"Q/Q Growth (Annual Rate, Percentage Points)",,1947:Q4,1947,4,mature,4,,quarter_vintage_period_only,6.230001019564568,"Mature robustness target selected using rule=latest; selected vintage_period=2026:Q1. Complete-vintage workbook exposes quarter-coded vintage periods, not exact daily release dates."
RTDSM,ROUTPUTQvQd_latest,data/bronze/targets/gdp_complete_vintages_long.csv,ROUTPUT,ROUTPUT,Real GNP/GDP mature target robustness (latest),qoq_annualized_percent_from_complete_vintage_levels,"Q/Q Growth (Annual Rate, Percentage Points)",,1948:Q1,1948,1,mature,4,,quarter_vintage_period_only,5.973751439529451,"Mature robustness target selected using rule=latest; selected vintage_period=2026:Q1. Complete-vintage workbook exposes quarter-coded vintage periods, not exact daily release dates."
RTDSM,ROUTPUTQvQd_latest,data/bronze/targets/gdp_complete_vintages_long.csv,ROUTPUT,ROUTPUT,Real GNP/GDP mature target robustness (latest),qoq_annualized_percent_from_complete_vintage_levels,"Q/Q Growth (Annual Rate, Percentage Points)",,1948:Q2,1948,2,mature,4,,quarter_vintage_period_only,6.554039107820486,"Mature robustness target selected using rule=latest; selected vintage_period=2026:Q1. Complete-vintage workbook exposes quarter-coded vintage periods, not exact daily release dates."
RTDSM,ROUTPUTQvQd_latest,data/bronze/targets/gdp_complete_vintages_long.csv,ROUTPUT,ROUTPUT,Real GNP/GDP mature target robustness (latest),qoq_annualized_percent_from_complete_vintage_levels,"Q/Q Growth (Annual Rate, Percentage Points)",,1948:Q3,1948,3,mature,4,,quarter_vintage_period_only,2.294980564694171,"Mature robustness target selected using rule=latest; selected vintage_period=2026:Q1. Complete-vintage workbook exposes quarter-coded vintage periods, not exact daily release dates."
RTDSM,ROUTPUTQvQd_latest,data/bronze/targets/gdp_complete_vintages_long.csv,ROUTPUT,ROUTPUT,Real GNP/GDP mature target robustness (latest),qoq_annualized_percent_from_complete_vintage_levels,"Q/Q Growth (Annual Rate, Percentage Points)",,1948:Q4,1948,4,mature,4,,quarter_vintage_period_only,0.45393047514821205,"Mature robustness target selected using rule=latest; selected vintage_period=2026:Q1. Complete-vintage workbook exposes quarter-coded vintage periods, not exact daily release dates."
RTDSM,ROUTPUTQvQd_latest,data/bronze/targets/gdp_complete_vintages_long.csv,ROUTPUT,ROUTPUT,Real GNP/GDP mature target robustness (latest),qoq_annualized_percent_from_complete_vintage_levels,"Q/Q Growth (Annual Rate, Percentage Points)",,1949:Q1,1949,1,mature,4,,quarter_vintage_period_only,-5.552228298927631,"Mature robustness target selected using rule=latest; selected vintage_period=2026:Q1. Complete-vintage workbook exposes quarter-coded vintage periods, not exact daily release dates."
RTDSM,ROUTPUTQvQd_latest,data/bronze/targets/gdp_complete_vintages_long.csv,ROUTPUT,ROUTPUT,Real GNP/GDP mature target robustness (latest),qoq_annualized_percent_from_complete_vintage_levels,"Q/Q Growth (Annual Rate, Percentage Points)",,1949:Q2,1949,2,mature,4,,quarter_vintage_period_only,-1.3646748875693504,"Mature robustness target selected using rule=latest; selected vintage_period=2026:Q1. Complete-vintage workbook exposes quarter-coded vintage periods, not exact daily release dates."
RTDSM,ROUTPUTQvQd_latest,data/bronze/targets/gdp_complete_vintages_long.csv,ROUTPUT,ROUTPUT,Real GNP/GDP mature target robustness (latest),qoq_annualized_percent_from_complete_vintage_levels,"Q/Q Growth (Annual Rate, Percentage Points)",,1949:Q3,1949,3,mature,4,,quarter_vintage_period_only,4.115280807051391,"Mature robustness target selected using rule=latest; selected vintage_period=2026:Q1. Complete-vintage workbook exposes quarter-coded vintage periods, not exact daily release dates."
RTDSM,ROUTPUTQvQd_latest,data/bronze/targets/gdp_complete_vintages_long.csv,ROUTPUT,ROUTPUT,Real GNP/GDP mature target robustness (latest),qoq_annualized_percent_from_complete_vintage_levels,"Q/Q Growth (Annual Rate, Percentage Points)",,1949:Q4,1949,4,mature,4,,quarter_vintage_period_only,-3.3526156829768894,"Mature robustness target selected using rule=latest; selected vintage_period=2026:Q1. Complete-vintage workbook exposes quarter-coded vintage periods, not exact daily release dates."
RTDSM,ROUTPUTQvQd_latest,data/bronze/targets/gdp_complete_vintages_long.csv,ROUTPUT,ROUTPUT,Real GNP/GDP mature target robustness (latest),qoq_annualized_percent_from_complete_vintage_levels,"Q/Q Growth (Annual Rate, Percentage Points)",,1950:Q1,1950,1,mature,4,,quarter_vintage_period_only,15.416266611757479,"Mature robustness target selected using rule=latest; selected vintage_period=2026:Q1. Complete-vintage workbook exposes quarter-coded vintage periods, not exact daily release dates."
RTDSM,ROUTPUTQvQd_latest,data/bronze/targets/gdp_complete_vintages_long.csv,ROUTPUT,ROUTPUT,Real GNP/GDP mature target robustness (latest),qoq_annualized_percent_from_complete_vintage_levels,"Q/Q Growth (Annual Rate, Percentage Points)",,1950:Q2,1950,2,mature,4,,quarter_vintage_period_only,12.024919979062076,"Mature robustness target selected using rule=latest; selected vintage_period=2026:Q1. Complete-vintage workbook exposes quarter-coded vintage periods, not exact daily release dates."
RTDSM,ROUTPUTQvQd_latest,data/bronze/targets/gdp_complete_vintages_long.csv,ROUTPUT,ROUTPUT,Real GNP/GDP mature target robustness (latest),qoq_annualized_percent_from_complete_vintage_levels,"Q/Q Growth (Annual Rate, Percentage Points)",,1950:Q3,1950,3,mature,4,,quarter_vintage_period_only,15.16169165481287,"Mature robustness target selected using rule=latest; selected vintage_period=2026:Q1. Complete-vintage workbook exposes quarter-coded vintage periods, not exact daily release dates."
RTDSM,ROUTPUTQvQd_latest,data/bronze/targets/gdp_complete_vintages_long.csv,ROUTPUT,ROUTPUT,Real GNP/GDP mature target robustness (latest),qoq_annualized_percent_from_complete_vintage_levels,"Q/Q Growth (Annual Rate, Percentage Points)",,1950:Q4,1950,4,mature,4,,quarter_vintage_period_only,7.58952219988025,"Mature robustness target selected using rule=latest; selected vintage_period=2026:Q1. Complete-vintage workbook exposes quarter-coded vintage periods, not exact daily release dates."
RTDSM,ROUTPUTQvQd_latest,data/bronze/targets/gdp_complete_vintages_long.csv,ROUTPUT,ROUTPUT,Real GNP/GDP mature target robustness (latest),qoq_annualized_percent_from_complete_vintage_levels,"Q/Q Growth (Annual Rate, Percentage Points)",,1951:Q1,1951,1,mature,4,,quarter_vintage_period_only,5.402550496432568,"Mature robustness target selected using rule=latest; selected vintage_period=2026:Q1. Complete-vintage workbook exposes quarter-coded vintage periods, not exact daily release dates."
RTDSM,ROUTPUTQvQd_latest,data/bronze/targets/gdp_complete_vintages_long.csv,ROUTPUT,ROUTPUT,Real GNP/GDP mature target robustness (latest),qoq_annualized_percent_from_complete_vintage_levels,"Q/Q Growth (Annual Rate, Percentage Points)",,1951:Q2,1951,2,mature,4,,quarter_vintage_period_only,6.864431107052127,"Mature robustness target selected using rule=latest; selected vintage_period=2026:Q1. Complete-vintage workbook exposes quarter-coded vintage periods, not exact daily release dates."
RTDSM,ROUTPUTQvQd_latest,data/bronze/targets/gdp_complete_vintages_long.csv,ROUTPUT,ROUTPUT,Real GNP/GDP mature target robustness (latest),qoq_annualized_percent_from_complete_vintage_levels,"Q/Q Growth (Annual Rate, Percentage Points)",,1951:Q3,1951,3,mature,4,,quarter_vintage_period_only,8.162017555520862,"Mature robustness target selected using rule=latest; selected vintage_period=2026:Q1. Complete-vintage workbook exposes quarter-coded vintage periods, not exact daily release dates."
RTDSM,ROUTPUTQvQd_latest,data/bronze/targets/gdp_complete_vintages_long.csv,ROUTPUT,ROUTPUT,Real GNP/GDP mature target robustness (latest),qoq_annualized_percent_from_complete_vintage_levels,"Q/Q Growth (Annual Rate, Percentage Points)",,1951:Q4,1951,4,mature,4,,quarter_vintage_period_only,0.8752901035528282,"Mature robustness target selected using rule=latest; selected vintage_period=2026:Q1. Complete-vintage workbook exposes quarter-coded vintage periods, not exact daily release dates."
