model_id,timing_mode,checkpoint_id,target_id,n_forecasts,n_variance,share_positive_variance,share_finite_sd,min_forecast_variance,median_forecast_variance,max_forecast_variance,mean_forecast_sd,empirical_error_sd,RMSE,mean_sd_to_rmse,mean_sd_to_empirical_error_sd,coverage_68,coverage_90,model_implied_share
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,80,80,1.0,1.0,3.3587547112285185,4.752270551152664,6.90805735345432,2.202842392960558,4.583200901716815,4.569555660049326,0.48206927693638807,0.48063404598637566,0.725,0.8625,1.0
monthly_mixed_frequency_kalman_em,pseudo,pre_second,S,79,79,1.0,1.0,0.3335627930149284,0.3753920310344466,0.3969089098705848,0.6104604950033641,0.6025500077792251,0.5987309815870594,1.0195906237977084,1.0131283497170536,0.810126582278481,0.9113924050632911,1.0
monthly_mixed_frequency_kalman_em,pseudo,pre_third,T,80,80,1.0,1.0,0.1283982153079688,0.14464190148065587,0.4953553977487219,0.3841071005277733,0.3715690532331889,0.3695594597533699,1.0393648177322046,1.0337435186958797,0.8375,0.9375,1.0
no_revision,exact,pre_advance,A,80,0,0.0,0.0,,,,,7.312691649659501,7.26944298718703,,,,,0.0
no_revision,exact,pre_second,S,79,0,0.0,0.0,,,,,0.5694656229901923,0.5696627235545563,,,,,0.0
no_revision,exact,pre_third,T,80,0,0.0,0.0,,,,,0.3611902856870371,0.36218671255306983,,,,,0.0
no_revision,pseudo,pre_advance,A,80,0,0.0,0.0,,,,,7.312691649659501,7.26944298718703,,,,,0.0
no_revision,pseudo,pre_second,S,79,0,0.0,0.0,,,,,0.5694656229901923,0.5696627235545563,,,,,0.0
no_revision,pseudo,pre_third,T,80,0,0.0,0.0,,,,,0.3611902856870371,0.36218671255306983,,,,,0.0
release_dfm,exact,pre_advance,A,80,0,0.0,0.0,,,,,3.033045309836658,3.0658631497628757,,,,,0.0
release_dfm,exact,pre_second,S,79,0,0.0,0.0,,,,,0.6951108682350918,0.6907381923525489,,,,,0.0
release_dfm,exact,pre_third,T,80,0,0.0,0.0,,,,,0.4473995912590166,0.4446166872002175,,,,,0.0
release_dfm,pseudo,pre_advance,A,80,0,0.0,0.0,,,,,3.0139858147314746,3.051686880620195,,,,,0.0
release_dfm,pseudo,pre_second,S,79,0,0.0,0.0,,,,,0.6947793831083643,0.6904136306729566,,,,,0.0
release_dfm,pseudo,pre_third,T,80,0,0.0,0.0,,,,,0.44741910119329453,0.4446354112046444,,,,,0.0
