model_id,timing_mode,checkpoint_id,outcome_id,n_density_forecasts,mean_log_score,mean_crps,coverage_68,coverage_90,mean_predictive_sd,pit_mean,pit_std,brier_below_zero
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,-3.7465995172617665,1.7462448186680226,0.625,0.8,2.105387259401963,0.42847262958024296,0.306424225631298,0.0997604403782276
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,-0.9123883586253881,0.32876439164912097,0.810126582278481,0.9113924050632911,0.6400234413202737,0.5154076556350148,0.2603875284819635,0.01747295257679801
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,-0.45221047105369416,0.18837423416899654,0.8375,0.9375,0.37921572738848497,0.5573069005373049,0.23868387666154053,0.001708708442706657
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,80,-3.748560880682008,1.7419590983073974,0.6125,0.8125,2.1081522159439094,0.42484214506126233,0.30429369834001047,0.09940860830111264
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,79,-0.911915477759794,0.3285285830589674,0.810126582278481,0.9113924050632911,0.6400402273979673,0.5156942592417363,0.2601369244624122,0.017472367740900534
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,80,-0.452171968708338,0.18835523044501984,0.8375,0.9375,0.3792174612782401,0.5572857062957506,0.23866144435643233,0.0017080928436306383
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,-4.268668088043687,1.680431816988084,0.6,0.7625,1.8255334908137435,0.4474491995659105,0.31709145465113575,0.09503110306607784
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,-1.0318629622888706,0.36366960247774954,0.7468354430379747,0.8860759493670886,0.633171005297136,0.4759621479970708,0.2773304981285887,0.017474505986811304
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,-0.44964099058588625,0.18869013039476246,0.8375,0.9375,0.3729687444298564,0.5505179818547091,0.24371630179950318,0.0019537543989778207
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,80,-4.265734734942805,1.6751252879033132,0.6,0.7625,1.8239363411094032,0.44563598118453135,0.3165140044015823,0.09481083435501725
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,79,-1.0309153665071786,0.36319637946771915,0.7468354430379747,0.8860759493670886,0.6330804916949843,0.47640209594620053,0.27689079698296026,0.017453092800036683
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,T,80,-0.4496855685975068,0.18869730743900762,0.8375,0.9375,0.3729687083630799,0.5505331246407013,0.24371996733100787,0.001954592666150932
midas_umidas,exact,pre_advance,A,68,-4.114163400322953,6.280939763569509,0.8382352941176471,0.9558823529411765,12.234077447843715,0.5432100710462354,0.22341323026198287,0.2872033710612257
midas_umidas,exact,pre_second,S,67,-4.155173103463967,2.1013279936848264,0.835820895522388,0.8955223880597015,3.3985247481447747,0.46594985220670315,0.2320930497858939,0.12450338155851773
midas_umidas,exact,pre_third,T,68,-4.186824130270051,2.490610900048054,0.7794117647058824,0.8823529411764706,3.609016496492913,0.47901397805430934,0.2461789806770862,0.11036220954631278
midas_umidas,pseudo,pre_advance,A,68,-4.1346038351251835,6.36615037136162,0.8382352941176471,0.9558823529411765,12.371873173313688,0.5467272659012467,0.22315067671720307,0.2869521643939856
midas_umidas,pseudo,pre_second,S,67,-4.151589679453058,2.0914237938689744,0.835820895522388,0.8955223880597015,3.3915376596907203,0.47100887644309397,0.23134724370257706,0.12491495674190803
midas_umidas,pseudo,pre_third,T,68,-4.194349403565249,2.490297750862184,0.7794117647058824,0.8823529411764706,3.5978499047023877,0.4752100080701297,0.24789428112634623,0.10900230281387378
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,80,-4.521362508326504,1.8039569832563156,0.725,0.8625,2.2023396615510316,0.46839168225522254,0.27357322934545214,0.083867954484442
monthly_mixed_frequency_kalman_em,exact,pre_second,S,79,-0.9117547685342722,0.31200826434527085,0.810126582278481,0.9113924050632911,0.6105990057760969,0.5112466169836289,0.2459472241290588,0.0165415849040569
monthly_mixed_frequency_kalman_em,exact,pre_third,T,80,-0.4479527279092449,0.19375381800685543,0.8375,0.9375,0.384145827796613,0.527994547091161,0.25268130929718924,0.003319721895731009
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,80,-4.520304085713505,1.8061860379909027,0.725,0.8625,2.202842392960558,0.46838381410502566,0.2738110305245024,0.08416803547152259
monthly_mixed_frequency_kalman_em,pseudo,pre_second,S,79,-0.9116112501666876,0.31199790011012435,0.810126582278481,0.9113924050632911,0.6104604950033641,0.5116772173574434,0.24597587151639083,0.016530312048319427
monthly_mixed_frequency_kalman_em,pseudo,pre_third,T,80,-0.4408803223077495,0.19216346089532338,0.8375,0.9375,0.3841071005277733,0.528020173779282,0.25212069332526066,0.0033517137713733837
no_revision,exact,pre_advance,A,68,-5.621629024037393,2.498832258140138,0.8235294117647058,0.9264705882352942,3.4053886205414123,0.47426686279139885,0.23631312360484635,0.12606021571325418
no_revision,exact,pre_second,S,67,-0.8833654489401548,0.30017969128674454,0.8656716417910447,0.9402985074626866,0.6909088366845302,0.5287086682538995,0.21701794463594232,0.02001927583710453
no_revision,exact,pre_third,T,68,-0.6434394422912957,0.19779460641107566,0.75,0.8676470588235294,0.3451171026974938,0.5650106820148996,0.2678297681196772,0.0015553346235912596
no_revision,pseudo,pre_advance,A,68,-5.621629024037393,2.498832258140138,0.8235294117647058,0.9264705882352942,3.4053886205414123,0.47426686279139885,0.23631312360484635,0.12606021571325418
no_revision,pseudo,pre_second,S,67,-0.8833654489401548,0.30017969128674454,0.8656716417910447,0.9402985074626866,0.6909088366845302,0.5287086682538995,0.21701794463594232,0.02001927583710453
no_revision,pseudo,pre_third,T,68,-0.6434394422912957,0.19779460641107566,0.75,0.8676470588235294,0.3451171026974938,0.5650106820148996,0.2678297681196772,0.0015553346235912596
release_dfm,exact,pre_advance,A,68,-3.472808257458883,1.3710081283914821,0.6764705882352942,0.8529411764705882,1.7357443182019328,0.3919507720407549,0.26774621757992434,0.06855126827661637
release_dfm,exact,pre_second,S,67,-1.1438843717568827,0.3590734830745331,0.835820895522388,0.9253731343283582,0.7428177630002849,0.48324451197528445,0.2251374814571769,0.018658581950270297
release_dfm,exact,pre_third,T,68,-0.9324911573322638,0.24336759803875593,0.7647058823529411,0.8823529411764706,0.42647050191859875,0.5108660572250612,0.2610549561261335,0.0027877575809848176
release_dfm,pseudo,pre_advance,A,68,-3.47885980518855,1.3659432607748827,0.6911764705882353,0.8529411764705882,1.7347442523960783,0.3890143922750227,0.2659367445612245,0.06737337749135254
release_dfm,pseudo,pre_second,S,67,-1.1433563401569193,0.358845812709001,0.835820895522388,0.9253731343283582,0.7424407872826756,0.48345052375819436,0.2250734053282997,0.01865690831992105
release_dfm,pseudo,pre_third,T,68,-0.931875178366123,0.24340744969989708,0.7647058823529411,0.8823529411764706,0.4265163376575392,0.5108466829189231,0.26106449110489727,0.002787501856583879
revision_dfm_kalman_em,exact,pre_advance,A,80,-3.6168055979044214,1.5144127889759333,0.7,0.875,2.1476760418294165,0.4740301583460657,0.27680329750828725,0.08214116781299226
revision_dfm_kalman_em,exact,pre_second,S,79,-1.0257549645000636,0.3478139035627263,0.7974683544303798,0.9113924050632911,0.6483719724776704,0.47126049715725377,0.25482574790610224,0.019443101057640307
revision_dfm_kalman_em,exact,pre_third,T,80,-0.45083319689855406,0.18887724229648178,0.8375,0.9375,0.37359440123535187,0.5499307956047228,0.24348132309866527,0.0021045442748352035
revision_dfm_kalman_em,pseudo,pre_advance,A,80,-3.603921847164756,1.5108299916785073,0.7,0.875,2.146588184718813,0.4744969819641803,0.27615485802219675,0.08208655672566659
revision_dfm_kalman_em,pseudo,pre_second,S,79,-1.0255066655015141,0.3476619023188724,0.7974683544303798,0.9113924050632911,0.6483810762195764,0.4714880500022191,0.25466193283459965,0.019441459483930036
revision_dfm_kalman_em,pseudo,pre_third,T,80,-0.4506553206743136,0.1888313159647351,0.8375,0.9375,0.3735936851782613,0.5499429095795694,0.24341242842032373,0.0021028438877948646
spf,exact,pre_advance,A,68,-2.715142527984721,1.0658963816333749,0.6617647058823529,0.8970588235294118,1.4736125611471482,0.4745411018328389,0.2921490268076785,0.07273427762761686
spf,exact,pre_second,S,67,-2.62058440302097,1.1637858349463817,0.7164179104477612,0.8805970149253731,1.7399905111050764,0.4945790761225428,0.2775750955246776,0.08767628815524232
spf,exact,pre_third,T,68,-2.623656746574655,1.1831360355905869,0.7352941176470589,0.8823529411764706,1.7669643489442157,0.5067297411242295,0.27991675454189036,0.08626084101854344
spf,pseudo,pre_advance,A,68,-2.715142527984721,1.0658963816333749,0.6617647058823529,0.8970588235294118,1.4736125611471482,0.4745411018328389,0.2921490268076785,0.07273427762761686
spf,pseudo,pre_second,S,67,-2.62058440302097,1.1637858349463817,0.7164179104477612,0.8805970149253731,1.7399905111050764,0.4945790761225428,0.2775750955246776,0.08767628815524232
spf,pseudo,pre_third,T,68,-2.623656746574655,1.1831360355905869,0.7352941176470589,0.8823529411764706,1.7669643489442157,0.5067297411242295,0.27991675454189036,0.08626084101854344
standard_dfm,exact,pre_advance,A,68,-3.472808257458883,1.3710081283914821,0.6764705882352942,0.8529411764705882,1.7357443182019328,0.3919507720407549,0.26774621757992434,0.06855126827661637
standard_dfm,exact,pre_second,S,67,-3.027112405712108,1.40696870842136,0.6865671641791045,0.8656716417910447,1.8360453880927319,0.39229684478406274,0.26875944531007945,0.07574165702131046
standard_dfm,exact,pre_third,T,68,-2.9561772324687214,1.4036835552493638,0.7647058823529411,0.8970588235294118,1.8657349468827857,0.39800326590934443,0.2685760574886976,0.07351314672807838
standard_dfm,pseudo,pre_advance,A,68,-3.47885980518855,1.3659432607748827,0.6911764705882353,0.8529411764705882,1.7347442523960783,0.3890143922750227,0.2659367445612245,0.06737337749135254
standard_dfm,pseudo,pre_second,S,67,-3.0257809271677325,1.4021971211968278,0.6865671641791045,0.8656716417910447,1.8308457440247075,0.3919359873354558,0.26826491463895513,0.07563011987696178
standard_dfm,pseudo,pre_third,T,68,-2.9558078373499503,1.4026761163576313,0.7647058823529411,0.8970588235294118,1.8664179078322225,0.3972831942983015,0.2682333040763034,0.07318982138922567
